dag44.txt 3_2x3.txt 0.29411764705882354 0.5 860160.0 [0, 4, 2, 1, 0, 4, 0, 4, 4, 4, 1, 4, 3, 0, 0, 3, 2, 3, 4, 1, 0, 3, 3, 0, 4, 3, 3, 0, 4, 2, 2, 4, 4, 3, 2, 2, 3, 3, 3, 2, 2, 3, 1, 1, 2, 2, 1, 2, 1, 1, 1, 2, 2, 2, 2, 4, 1, 1, 1, 4, 4, 1, 0, 1, 1, 1, 1, 0, 0, 5, 1, 3, 3, 5, 5, 5, 5, 4, 5, 0, 4, 2, 0, 0, 0, 0, 5, 3, 0, 0, 0, 5, 5] 
dag44.txt 3_2x4.txt 0.3235294117647059 0.7 647168.0 [1, 0, 4, 7, 4, 0, 1, 0, 5, 5, 4, 5, 0, 1, 1, 6, 4, 5, 0, 1, 1, 5, 0, 1, 5, 6, 6, 4, 0, 4, 4, 0, 0, 6, 4, 1, 6, 6, 6, 3, 1, 0, 1, 1, 3, 4, 4, 3, 1, 4, 1, 7, 7, 7, 7, 5, 7, 3, 7, 5, 5, 7, 5, 4, 7, 4, 4, 2, 2, 6, 7, 5, 5, 0, 2, 6, 2, 7, 2, 3, 7, 3, 3, 2, 3, 3, 2, 6, 3, 2, 2, 2, 2] 
dag44.txt 5_4_3_2x2.txt 0.3235294117647059 0.65 638976.0 [2, 0, 1, 7, 1, 0, 2, 0, 3, 3, 1, 3, 0, 2, 2, 5, 1, 3, 0, 2, 2, 3, 0, 2, 3, 5, 5, 1, 0, 1, 1, 0, 0, 5, 1, 2, 5, 5, 5, 6, 2, 0, 2, 2, 6, 1, 1, 6, 2, 1, 2, 7, 7, 7, 7, 3, 7, 6, 7, 3, 3, 7, 3, 1, 7, 1, 1, 4, 4, 5, 7, 3, 3, 0, 4, 5, 4, 7, 4, 6, 7, 6, 6, 4, 6, 6, 4, 5, 6, 4, 4, 4, 4] 
dag44.txt 4_1x5.txt 0.35294117647058826 0.65 1015808.0 [4, 5, 7, 6, 7, 9, 2, 5, 5, 5, 8, 5, 9, 8, 4, 3, 7, 0, 5, 8, 4, 0, 9, 4, 5, 3, 6, 7, 9, 7, 7, 5, 9, 3, 7, 8, 6, 0, 9, 0, 7, 9, 8, 8, 0, 7, 7, 0, 8, 8, 8, 6, 6, 8, 1, 5, 1, 0, 1, 4, 5, 1, 7, 8, 1, 8, 8, 3, 2, 6, 1, 0, 1, 9, 2, 3, 2, 6, 3, 8, 2, 7, 8, 3, 2, 1, 3, 3, 2, 2, 2, 3, 2] 
dag44.txt 5_4_3_2x2.txt 0.3235294117647059 0.7 638976.0 [2, 0, 1, 7, 1, 0, 2, 0, 3, 3, 1, 3, 0, 2, 2, 5, 1, 3, 0, 2, 2, 3, 0, 2, 3, 5, 5, 1, 0, 1, 1, 0, 0, 5, 1, 2, 5, 5, 5, 6, 2, 0, 2, 2, 6, 1, 1, 6, 2, 1, 2, 7, 7, 7, 7, 3, 7, 6, 7, 3, 3, 7, 3, 1, 7, 1, 1, 4, 4, 5, 7, 3, 3, 0, 4, 5, 4, 7, 4, 6, 7, 6, 6, 4, 6, 6, 4, 5, 6, 4, 4, 4, 4] 
dag44.txt 3_2x3.txt 0.3088235294117647 0.55 860160.0 [0, 1, 3, 1, 3, 1, 0, 4, 1, 2, 3, 4, 2, 4, 0, 5, 3, 2, 4, 5, 0, 2, 5, 0, 1, 5, 5, 3, 1, 3, 3, 1, 1, 2, 1, 5, 2, 2, 2, 3, 1, 3, 4, 4, 3, 3, 3, 1, 4, 3, 0, 1, 1, 1, 1, 2, 0, 3, 0, 2, 2, 1, 3, 3, 1, 3, 3, 4, 0, 5, 2, 2, 2, 5, 5, 2, 5, 1, 2, 3, 5, 3, 3, 4, 5, 0, 4, 4, 5, 5, 5, 4, 4] 
dag44.txt 3_2x4.txt 0.3235294117647059 0.8 647168.0 [1, 0, 4, 7, 4, 0, 1, 0, 5, 5, 4, 5, 0, 1, 1, 6, 4, 5, 0, 1, 1, 5, 0, 1, 5, 6, 6, 4, 0, 4, 4, 0, 0, 6, 4, 1, 6, 6, 6, 3, 1, 0, 1, 1, 3, 4, 4, 3, 1, 4, 1, 7, 7, 7, 7, 5, 7, 3, 7, 5, 5, 7, 5, 4, 7, 4, 4, 2, 2, 6, 7, 5, 5, 0, 2, 6, 2, 7, 2, 3, 7, 3, 3, 2, 3, 3, 2, 6, 3, 2, 2, 2, 2] 
dag44.txt 4_1x5.txt 0.35294117647058826 0.7 1015808.0 [4, 5, 7, 6, 7, 9, 2, 5, 5, 5, 8, 5, 9, 8, 4, 3, 7, 0, 5, 8, 4, 0, 9, 4, 5, 3, 6, 7, 9, 7, 7, 5, 9, 3, 7, 8, 6, 0, 9, 0, 7, 9, 8, 8, 0, 7, 7, 0, 8, 8, 8, 6, 6, 8, 1, 5, 1, 0, 1, 4, 5, 1, 7, 8, 1, 8, 8, 3, 2, 6, 1, 0, 1, 9, 2, 3, 2, 6, 3, 8, 2, 7, 8, 3, 2, 1, 3, 3, 2, 2, 2, 3, 2] 
dag44.txt 3_2x3.txt 0.3088235294117647 0.6 860160.0 [0, 1, 3, 1, 3, 1, 0, 4, 1, 2, 3, 4, 2, 4, 0, 5, 3, 2, 4, 5, 0, 2, 5, 0, 1, 5, 5, 3, 1, 3, 3, 1, 1, 2, 1, 5, 2, 2, 2, 3, 1, 3, 4, 4, 3, 3, 3, 1, 4, 3, 0, 1, 1, 1, 1, 2, 0, 3, 0, 2, 2, 1, 3, 3, 1, 3, 3, 4, 0, 5, 2, 2, 2, 5, 5, 2, 5, 1, 2, 3, 5, 3, 3, 4, 5, 0, 4, 4, 5, 5, 5, 4, 4] 
dag44.txt 3_2x4.txt 0.3235294117647059 0.9 647168.0 [1, 0, 4, 7, 4, 0, 1, 0, 5, 5, 4, 5, 0, 1, 1, 6, 4, 5, 0, 1, 1, 5, 0, 1, 5, 6, 6, 4, 0, 4, 4, 0, 0, 6, 4, 1, 6, 6, 6, 3, 1, 0, 1, 1, 3, 4, 4, 3, 1, 4, 1, 7, 7, 7, 7, 5, 7, 3, 7, 5, 5, 7, 5, 4, 7, 4, 4, 2, 2, 6, 7, 5, 5, 0, 2, 6, 2, 7, 2, 3, 7, 3, 3, 2, 3, 3, 2, 6, 3, 2, 2, 2, 2] 
dag44.txt 5_4_3_2x2.txt 0.3235294117647059 0.8 638976.0 [2, 0, 1, 7, 1, 0, 2, 0, 3, 3, 1, 3, 0, 2, 2, 5, 1, 3, 0, 2, 2, 3, 0, 2, 3, 5, 5, 1, 0, 1, 1, 0, 0, 5, 1, 2, 5, 5, 5, 6, 2, 0, 2, 2, 6, 1, 1, 6, 2, 1, 2, 7, 7, 7, 7, 3, 7, 6, 7, 3, 3, 7, 3, 1, 7, 1, 1, 4, 4, 5, 7, 3, 3, 0, 4, 5, 4, 7, 4, 6, 7, 6, 6, 4, 6, 6, 4, 5, 6, 4, 4, 4, 4] 
dag44.txt 3_2x3.txt 0.3088235294117647 0.65 860160.0 [0, 1, 3, 1, 3, 1, 0, 4, 1, 2, 3, 4, 2, 4, 0, 5, 3, 2, 4, 5, 0, 2, 5, 0, 1, 5, 5, 3, 1, 3, 3, 1, 1, 2, 1, 5, 2, 2, 2, 3, 1, 3, 4, 4, 3, 3, 3, 1, 4, 3, 0, 1, 1, 1, 1, 2, 0, 3, 0, 2, 2, 1, 3, 3, 1, 3, 3, 4, 0, 5, 2, 2, 2, 5, 5, 2, 5, 1, 2, 3, 5, 3, 3, 4, 5, 0, 4, 4, 5, 5, 5, 4, 4] 
dag44.txt 5_4_3_2x2.txt 0.3235294117647059 0.9 638976.0 [2, 0, 1, 7, 1, 0, 2, 0, 3, 3, 1, 3, 0, 2, 2, 5, 1, 3, 0, 2, 2, 3, 0, 2, 3, 5, 5, 1, 0, 1, 1, 0, 0, 5, 1, 2, 5, 5, 5, 6, 2, 0, 2, 2, 6, 1, 1, 6, 2, 1, 2, 7, 7, 7, 7, 3, 7, 6, 7, 3, 3, 7, 3, 1, 7, 1, 1, 4, 4, 5, 7, 3, 3, 0, 4, 5, 4, 7, 4, 6, 7, 6, 6, 4, 6, 6, 4, 5, 6, 4, 4, 4, 4] 
dag44.txt 4_1x5.txt 0.35294117647058826 0.8 1015808.0 [4, 5, 7, 6, 7, 9, 2, 5, 5, 5, 8, 5, 9, 8, 4, 3, 7, 0, 5, 8, 4, 0, 9, 4, 5, 3, 6, 7, 9, 7, 7, 5, 9, 3, 7, 8, 6, 0, 9, 0, 7, 9, 8, 8, 0, 7, 7, 0, 8, 8, 8, 6, 6, 8, 1, 5, 1, 0, 1, 4, 5, 1, 7, 8, 1, 8, 8, 3, 2, 6, 1, 0, 1, 9, 2, 3, 2, 6, 3, 8, 2, 7, 8, 3, 2, 1, 3, 3, 2, 2, 2, 3, 2] 
dag44.txt 3_2x4.txt 0.3235294117647059 1 647168.0 [1, 0, 4, 7, 4, 0, 1, 0, 5, 5, 4, 5, 0, 1, 1, 6, 4, 5, 0, 1, 1, 5, 0, 1, 5, 6, 6, 4, 0, 4, 4, 0, 0, 6, 4, 1, 6, 6, 6, 3, 1, 0, 1, 1, 3, 4, 4, 3, 1, 4, 1, 7, 7, 7, 7, 5, 7, 3, 7, 5, 5, 7, 5, 4, 7, 4, 4, 2, 2, 6, 7, 5, 5, 0, 2, 6, 2, 7, 2, 3, 7, 3, 3, 2, 3, 3, 2, 6, 3, 2, 2, 2, 2] 
dag44.txt 5_4_3_2x5.txt 0.49264705882352944 0.5 245760.0 [0, 3, 17, 16, 15, 6, 0, 3, 14, 3, 1, 18, 10, 0, 19, 11, 15, 6, 3, 1, 0, 6, 6, 0, 3, 2, 11, 15, 6, 17, 15, 3, 13, 11, 13, 5, 11, 2, 11, 15, 5, 6, 0, 18, 9, 15, 5, 9, 0, 5, 5, 16, 13, 5, 5, 3, 5, 9, 1, 14, 3, 16, 3, 5, 16, 16, 16, 7, 7, 12, 16, 6, 6, 10, 12, 11, 12, 13, 7, 0, 13, 15, 15, 7, 4, 4, 7, 8, 4, 7, 7, 8, 8] 
dag44.txt 5_4_3_2x2.txt 0.3235294117647059 1 638976.0 [2, 0, 1, 7, 1, 0, 2, 0, 3, 3, 1, 3, 0, 2, 2, 5, 1, 3, 0, 2, 2, 3, 0, 2, 3, 5, 5, 1, 0, 1, 1, 0, 0, 5, 1, 2, 5, 5, 5, 6, 2, 0, 2, 2, 6, 1, 1, 6, 2, 1, 2, 7, 7, 7, 7, 3, 7, 6, 7, 3, 3, 7, 3, 1, 7, 1, 1, 4, 4, 5, 7, 3, 3, 0, 4, 5, 4, 7, 4, 6, 7, 6, 6, 4, 6, 6, 4, 5, 6, 4, 4, 4, 4] 
dag44.txt 3_2x3.txt 0.3088235294117647 0.7 860160.0 [0, 1, 3, 1, 3, 1, 0, 4, 1, 2, 3, 4, 2, 4, 0, 5, 3, 2, 4, 5, 0, 2, 5, 0, 1, 5, 5, 3, 1, 3, 3, 1, 1, 2, 1, 5, 2, 2, 2, 3, 1, 3, 4, 4, 3, 3, 3, 1, 4, 3, 0, 1, 1, 1, 1, 2, 0, 3, 0, 2, 2, 1, 3, 3, 1, 3, 3, 4, 0, 5, 2, 2, 2, 5, 5, 2, 5, 1, 2, 3, 5, 3, 3, 4, 5, 0, 4, 4, 5, 5, 5, 4, 4] 
dag44.txt 4_1x5.txt 0.35294117647058826 0.9 1015808.0 [4, 5, 7, 6, 7, 9, 2, 5, 5, 5, 8, 5, 9, 8, 4, 3, 7, 0, 5, 8, 4, 0, 9, 4, 5, 3, 6, 7, 9, 7, 7, 5, 9, 3, 7, 8, 6, 0, 9, 0, 7, 9, 8, 8, 0, 7, 7, 0, 8, 8, 8, 6, 6, 8, 1, 5, 1, 0, 1, 4, 5, 1, 7, 8, 1, 8, 8, 3, 2, 6, 1, 0, 1, 9, 2, 3, 2, 6, 3, 8, 2, 7, 8, 3, 2, 1, 3, 3, 2, 2, 2, 3, 2] 
dag44.txt 4_1x1.txt 0.13970588235294118 0.5 5177344.0 [0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0] 
dag44.txt 5_4_3_2x5.txt 0.49264705882352944 0.55 245760.0 [0, 3, 17, 16, 15, 6, 0, 3, 14, 3, 1, 18, 10, 0, 19, 11, 15, 6, 3, 1, 0, 6, 6, 0, 3, 2, 11, 15, 6, 17, 15, 3, 13, 11, 13, 5, 11, 2, 11, 15, 5, 6, 0, 18, 9, 15, 5, 9, 0, 5, 5, 16, 13, 5, 5, 3, 5, 9, 1, 14, 3, 16, 3, 5, 16, 16, 16, 7, 7, 12, 16, 6, 6, 10, 12, 11, 12, 13, 7, 0, 13, 15, 15, 7, 4, 4, 7, 8, 4, 7, 7, 8, 8] 
dag44.txt 3_2x3.txt 0.3088235294117647 0.8 860160.0 [0, 1, 3, 1, 3, 1, 0, 4, 1, 2, 3, 4, 2, 4, 0, 5, 3, 2, 4, 5, 0, 2, 5, 0, 1, 5, 5, 3, 1, 3, 3, 1, 1, 2, 1, 5, 2, 2, 2, 3, 1, 3, 4, 4, 3, 3, 3, 1, 4, 3, 0, 1, 1, 1, 1, 2, 0, 3, 0, 2, 2, 1, 3, 3, 1, 3, 3, 4, 0, 5, 2, 2, 2, 5, 5, 2, 5, 1, 2, 3, 5, 3, 3, 4, 5, 0, 4, 4, 5, 5, 5, 4, 4] 
dag44.txt 5_4_3_2x3.txt 0.36764705882352944 0.5 393216.0 [10, 4, 2, 9, 0, 6, 3, 4, 4, 1, 2, 1, 6, 3, 10, 7, 0, 1, 4, 3, 10, 1, 6, 10, 4, 3, 8, 0, 6, 0, 2, 4, 6, 7, 2, 9, 8, 8, 8, 2, 2, 6, 10, 4, 5, 0, 2, 9, 10, 2, 2, 9, 9, 9, 9, 1, 5, 5, 5, 1, 1, 9, 3, 2, 5, 2, 2, 3, 3, 8, 5, 1, 7, 0, 0, 7, 6, 6, 7, 3, 6, 11, 11, 3, 11, 11, 7, 7, 11, 3, 3, 7, 3] 
dag44.txt 4_1x5.txt 0.35294117647058826 1 1015808.0 [4, 5, 7, 6, 7, 9, 2, 5, 5, 5, 8, 5, 9, 8, 4, 3, 7, 0, 5, 8, 4, 0, 9, 4, 5, 3, 6, 7, 9, 7, 7, 5, 9, 3, 7, 8, 6, 0, 9, 0, 7, 9, 8, 8, 0, 7, 7, 0, 8, 8, 8, 6, 6, 8, 1, 5, 1, 0, 1, 4, 5, 1, 7, 8, 1, 8, 8, 3, 2, 6, 1, 0, 1, 9, 2, 3, 2, 6, 3, 8, 2, 7, 8, 3, 2, 1, 3, 3, 2, 2, 2, 3, 2] 
dag44.txt 4_1x1.txt 0.13970588235294118 0.55 5177344.0 [0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0] 
dag44.txt 5_4_3_2x5.txt 0.49264705882352944 0.6 245760.0 [0, 3, 17, 16, 15, 6, 0, 3, 14, 3, 1, 18, 10, 0, 19, 11, 15, 6, 3, 1, 0, 6, 6, 0, 3, 2, 11, 15, 6, 17, 15, 3, 13, 11, 13, 5, 11, 2, 11, 15, 5, 6, 0, 18, 9, 15, 5, 9, 0, 5, 5, 16, 13, 5, 5, 3, 5, 9, 1, 14, 3, 16, 3, 5, 16, 16, 16, 7, 7, 12, 16, 6, 6, 10, 12, 11, 12, 13, 7, 0, 13, 15, 15, 7, 4, 4, 7, 8, 4, 7, 7, 8, 8] 
dag44.txt 5_4_3_2x3.txt 0.36764705882352944 0.55 393216.0 [10, 4, 2, 9, 0, 6, 3, 4, 4, 1, 2, 1, 6, 3, 10, 7, 0, 1, 4, 3, 10, 1, 6, 10, 4, 3, 8, 0, 6, 0, 2, 4, 6, 7, 2, 9, 8, 8, 8, 2, 2, 6, 10, 4, 5, 0, 2, 9, 10, 2, 2, 9, 9, 9, 9, 1, 5, 5, 5, 1, 1, 9, 3, 2, 5, 2, 2, 3, 3, 8, 5, 1, 7, 0, 0, 7, 6, 6, 7, 3, 6, 11, 11, 3, 11, 11, 7, 7, 11, 3, 3, 7, 3] 
dag44.txt 3_2x3.txt 0.3088235294117647 0.9 860160.0 [0, 1, 3, 1, 3, 1, 0, 4, 1, 2, 3, 4, 2, 4, 0, 5, 3, 2, 4, 5, 0, 2, 5, 0, 1, 5, 5, 3, 1, 3, 3, 1, 1, 2, 1, 5, 2, 2, 2, 3, 1, 3, 4, 4, 3, 3, 3, 1, 4, 3, 0, 1, 1, 1, 1, 2, 0, 3, 0, 2, 2, 1, 3, 3, 1, 3, 3, 4, 0, 5, 2, 2, 2, 5, 5, 2, 5, 1, 2, 3, 5, 3, 3, 4, 5, 0, 4, 4, 5, 5, 5, 4, 4] 
dag44.txt 4_1x1.txt 0.13970588235294118 0.6 5177344.0 [0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0] 
dag44.txt 5_4_3_2x3.txt 0.36764705882352944 0.6 393216.0 [10, 4, 2, 9, 0, 6, 3, 4, 4, 1, 2, 1, 6, 3, 10, 7, 0, 1, 4, 3, 10, 1, 6, 10, 4, 3, 8, 0, 6, 0, 2, 4, 6, 7, 2, 9, 8, 8, 8, 2, 2, 6, 10, 4, 5, 0, 2, 9, 10, 2, 2, 9, 9, 9, 9, 1, 5, 5, 5, 1, 1, 9, 3, 2, 5, 2, 2, 3, 3, 8, 5, 1, 7, 0, 0, 7, 6, 6, 7, 3, 6, 11, 11, 3, 11, 11, 7, 7, 11, 3, 3, 7, 3] 
dag44.txt 5_4_3_2x5.txt 0.49264705882352944 0.65 245760.0 [0, 3, 17, 16, 15, 6, 0, 3, 14, 3, 1, 18, 10, 0, 19, 11, 15, 6, 3, 1, 0, 6, 6, 0, 3, 2, 11, 15, 6, 17, 15, 3, 13, 11, 13, 5, 11, 2, 11, 15, 5, 6, 0, 18, 9, 15, 5, 9, 0, 5, 5, 16, 13, 5, 5, 3, 5, 9, 1, 14, 3, 16, 3, 5, 16, 16, 16, 7, 7, 12, 16, 6, 6, 10, 12, 11, 12, 13, 7, 0, 13, 15, 15, 7, 4, 4, 7, 8, 4, 7, 7, 8, 8] 
dag44.txt 4_1x1.txt 0.13970588235294118 0.65 5177344.0 [0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0] 
dag44.txt 3_2x3.txt 0.3088235294117647 1 860160.0 [0, 1, 3, 1, 3, 1, 0, 4, 1, 2, 3, 4, 2, 4, 0, 5, 3, 2, 4, 5, 0, 2, 5, 0, 1, 5, 5, 3, 1, 3, 3, 1, 1, 2, 1, 5, 2, 2, 2, 3, 1, 3, 4, 4, 3, 3, 3, 1, 4, 3, 0, 1, 1, 1, 1, 2, 0, 3, 0, 2, 2, 1, 3, 3, 1, 3, 3, 4, 0, 5, 2, 2, 2, 5, 5, 2, 5, 1, 2, 3, 5, 3, 3, 4, 5, 0, 4, 4, 5, 5, 5, 4, 4] 
dag44.txt 5_4_3_2x3.txt 0.36764705882352944 0.65 393216.0 [10, 4, 2, 9, 0, 6, 3, 4, 4, 1, 2, 1, 6, 3, 10, 7, 0, 1, 4, 3, 10, 1, 6, 10, 4, 3, 8, 0, 6, 0, 2, 4, 6, 7, 2, 9, 8, 8, 8, 2, 2, 6, 10, 4, 5, 0, 2, 9, 10, 2, 2, 9, 9, 9, 9, 1, 5, 5, 5, 1, 1, 9, 3, 2, 5, 2, 2, 3, 3, 8, 5, 1, 7, 0, 0, 7, 6, 6, 7, 3, 6, 11, 11, 3, 11, 11, 7, 7, 11, 3, 3, 7, 3] 
