dag74.txt 4_1x3.txt 0.3448275862068966 0.6 1703936.0 [4, 2, 3, 5, 1, 5, 4, 2, 5, 0, 4, 4, 1, 1, 5, 5, 1, 5, 3, 2, 3, 3, 3, 3, 4, 1, 0, 4, 3, 3, 3, 3, 0, 1, 4, 3, 5, 3, 3, 4, 1, 1, 4, 4, 2, 2, 2, 2, 2, 2, 5, 2, 4, 0, 0, 0, 0, 0, 5, 0, 4, 5, 4, 4, 2, 2, 2, 2, 0, 0, 5, 0, 1, 1, 2, 2, 1, 2] 
dag74.txt 3_2x5.txt 0.3706896551724138 0.45 507904.0 [5, 9, 1, 7, 2, 1, 8, 9, 1, 8, 8, 5, 2, 6, 7, 1, 2, 7, 8, 9, 1, 5, 2, 5, 5, 6, 1, 5, 6, 5, 1, 1, 9, 6, 2, 9, 9, 6, 5, 2, 6, 6, 2, 2, 6, 6, 8, 6, 4, 4, 7, 4, 0, 4, 0, 0, 8, 0, 7, 0, 8, 7, 8, 8, 4, 4, 2, 4, 4, 4, 3, 4, 3, 3, 3, 3, 3, 3] 
dag74.txt 4_1x3.txt 0.3448275862068966 0.65 1703936.0 [4, 2, 3, 5, 1, 5, 4, 2, 5, 0, 4, 4, 1, 1, 5, 5, 1, 5, 3, 2, 3, 3, 3, 3, 4, 1, 0, 4, 3, 3, 3, 3, 0, 1, 4, 3, 5, 3, 3, 4, 1, 1, 4, 4, 2, 2, 2, 2, 2, 2, 5, 2, 4, 0, 0, 0, 0, 0, 5, 0, 4, 5, 4, 4, 2, 2, 2, 2, 0, 0, 5, 0, 1, 1, 2, 2, 1, 2] 
dag74.txt 3_2x5.txt 0.3706896551724138 0.5 507904.0 [5, 9, 1, 7, 2, 1, 8, 9, 1, 8, 8, 5, 2, 6, 7, 1, 2, 7, 8, 9, 1, 5, 2, 5, 5, 6, 1, 5, 6, 5, 1, 1, 9, 6, 2, 9, 9, 6, 5, 2, 6, 6, 2, 2, 6, 6, 8, 6, 4, 4, 7, 4, 0, 4, 0, 0, 8, 0, 7, 0, 8, 7, 8, 8, 4, 4, 2, 4, 4, 4, 3, 4, 3, 3, 3, 3, 3, 3] 
dag74.txt 3_2x5.txt 0.3706896551724138 0.55 507904.0 [5, 9, 1, 7, 2, 1, 8, 9, 1, 8, 8, 5, 2, 6, 7, 1, 2, 7, 8, 9, 1, 5, 2, 5, 5, 6, 1, 5, 6, 5, 1, 1, 9, 6, 2, 9, 9, 6, 5, 2, 6, 6, 2, 2, 6, 6, 8, 6, 4, 4, 7, 4, 0, 4, 0, 0, 8, 0, 7, 0, 8, 7, 8, 8, 4, 4, 2, 4, 4, 4, 3, 4, 3, 3, 3, 3, 3, 3] 
dag74.txt 5_4_3_2x5.txt 0.4827586206896552 0.9 229376.0 [3, 15, 10, 19, 3, 10, 7, 15, 10, 14, 6, 3, 2, 12, 0, 10, 2, 0, 14, 15, 10, 4, 7, 4, 3, 18, 14, 3, 18, 4, 13, 13, 14, 18, 3, 14, 9, 9, 4, 3, 12, 18, 7, 11, 18, 18, 8, 18, 15, 8, 0, 12, 6, 11, 17, 16, 14, 16, 0, 16, 17, 0, 8, 8, 1, 1, 1, 1, 11, 1, 10, 1, 5, 5, 0, 1, 1, 1] 
dag74.txt 5_4_3_2x5.txt 0.4827586206896552 1 229376.0 [3, 15, 10, 19, 3, 10, 7, 15, 10, 14, 6, 3, 2, 12, 0, 10, 2, 0, 14, 15, 10, 4, 7, 4, 3, 18, 14, 3, 18, 4, 13, 13, 14, 18, 3, 14, 9, 9, 4, 3, 12, 18, 7, 11, 18, 18, 8, 18, 15, 8, 0, 12, 6, 11, 17, 16, 14, 16, 0, 16, 17, 0, 8, 8, 1, 1, 1, 1, 11, 1, 10, 1, 5, 5, 0, 1, 1, 1] 
dag74.txt 4_1x3.txt 0.3448275862068966 0.7 1703936.0 [4, 2, 3, 5, 1, 5, 4, 2, 5, 0, 4, 4, 1, 1, 5, 5, 1, 5, 3, 2, 3, 3, 3, 3, 4, 1, 0, 4, 3, 3, 3, 3, 0, 1, 4, 3, 5, 3, 3, 4, 1, 1, 4, 4, 2, 2, 2, 2, 2, 2, 5, 2, 4, 0, 0, 0, 0, 0, 5, 0, 4, 5, 4, 4, 2, 2, 2, 2, 0, 0, 5, 0, 1, 1, 2, 2, 1, 2] 
dag74.txt 3_2x5.txt 0.3706896551724138 0.6 507904.0 [5, 9, 1, 7, 2, 1, 8, 9, 1, 8, 8, 5, 2, 6, 7, 1, 2, 7, 8, 9, 1, 5, 2, 5, 5, 6, 1, 5, 6, 5, 1, 1, 9, 6, 2, 9, 9, 6, 5, 2, 6, 6, 2, 2, 6, 6, 8, 6, 4, 4, 7, 4, 0, 4, 0, 0, 8, 0, 7, 0, 8, 7, 8, 8, 4, 4, 2, 4, 4, 4, 3, 4, 3, 3, 3, 3, 3, 3] 
dag74.txt 4_1x1.txt 0.09482758620689655 0.1 2883584.0 [0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1] 
dag74.txt 3_2x5.txt 0.3706896551724138 0.65 507904.0 [5, 9, 1, 7, 2, 1, 8, 9, 1, 8, 8, 5, 2, 6, 7, 1, 2, 7, 8, 9, 1, 5, 2, 5, 5, 6, 1, 5, 6, 5, 1, 1, 9, 6, 2, 9, 9, 6, 5, 2, 6, 6, 2, 2, 6, 6, 8, 6, 4, 4, 7, 4, 0, 4, 0, 0, 8, 0, 7, 0, 8, 7, 8, 8, 4, 4, 2, 4, 4, 4, 3, 4, 3, 3, 3, 3, 3, 3] 
dag74.txt 4_1x3.txt 0.3448275862068966 0.8 1703936.0 [4, 2, 3, 5, 1, 5, 4, 2, 5, 0, 4, 4, 1, 1, 5, 5, 1, 5, 3, 2, 3, 3, 3, 3, 4, 1, 0, 4, 3, 3, 3, 3, 0, 1, 4, 3, 5, 3, 3, 4, 1, 1, 4, 4, 2, 2, 2, 2, 2, 2, 5, 2, 4, 0, 0, 0, 0, 0, 5, 0, 4, 5, 4, 4, 2, 2, 2, 2, 0, 0, 5, 0, 1, 1, 2, 2, 1, 2] 
dag74.txt 3_2x5.txt 0.3706896551724138 0.7 507904.0 [5, 9, 1, 7, 2, 1, 8, 9, 1, 8, 8, 5, 2, 6, 7, 1, 2, 7, 8, 9, 1, 5, 2, 5, 5, 6, 1, 5, 6, 5, 1, 1, 9, 6, 2, 9, 9, 6, 5, 2, 6, 6, 2, 2, 6, 6, 8, 6, 4, 4, 7, 4, 0, 4, 0, 0, 8, 0, 7, 0, 8, 7, 8, 8, 4, 4, 2, 4, 4, 4, 3, 4, 3, 3, 3, 3, 3, 3] 
dag74.txt 4_1x3.txt 0.3448275862068966 0.9 1703936.0 [4, 2, 3, 5, 1, 5, 4, 2, 5, 0, 4, 4, 1, 1, 5, 5, 1, 5, 3, 2, 3, 3, 3, 3, 4, 1, 0, 4, 3, 3, 3, 3, 0, 1, 4, 3, 5, 3, 3, 4, 1, 1, 4, 4, 2, 2, 2, 2, 2, 2, 5, 2, 4, 0, 0, 0, 0, 0, 5, 0, 4, 5, 4, 4, 2, 2, 2, 2, 0, 0, 5, 0, 1, 1, 2, 2, 1, 2] 
dag74.txt 3_2x5.txt 0.3706896551724138 0.8 507904.0 [5, 9, 1, 7, 2, 1, 8, 9, 1, 8, 8, 5, 2, 6, 7, 1, 2, 7, 8, 9, 1, 5, 2, 5, 5, 6, 1, 5, 6, 5, 1, 1, 9, 6, 2, 9, 9, 6, 5, 2, 6, 6, 2, 2, 6, 6, 8, 6, 4, 4, 7, 4, 0, 4, 0, 0, 8, 0, 7, 0, 8, 7, 8, 8, 4, 4, 2, 4, 4, 4, 3, 4, 3, 3, 3, 3, 3, 3] 
dag74.txt 4_1x3.txt 0.3448275862068966 1 1703936.0 [4, 2, 3, 5, 1, 5, 4, 2, 5, 0, 4, 4, 1, 1, 5, 5, 1, 5, 3, 2, 3, 3, 3, 3, 4, 1, 0, 4, 3, 3, 3, 3, 0, 1, 4, 3, 5, 3, 3, 4, 1, 1, 4, 4, 2, 2, 2, 2, 2, 2, 5, 2, 4, 0, 0, 0, 0, 0, 5, 0, 4, 5, 4, 4, 2, 2, 2, 2, 0, 0, 5, 0, 1, 1, 2, 2, 1, 2] 
dag74.txt 3_2x5.txt 0.3706896551724138 0.9 507904.0 [5, 9, 1, 7, 2, 1, 8, 9, 1, 8, 8, 5, 2, 6, 7, 1, 2, 7, 8, 9, 1, 5, 2, 5, 5, 6, 1, 5, 6, 5, 1, 1, 9, 6, 2, 9, 9, 6, 5, 2, 6, 6, 2, 2, 6, 6, 8, 6, 4, 4, 7, 4, 0, 4, 0, 0, 8, 0, 7, 0, 8, 7, 8, 8, 4, 4, 2, 4, 4, 4, 3, 4, 3, 3, 3, 3, 3, 3] 
dag74.txt 4_1x1.txt 0.13793103448275862 0.15 5079040.0 [0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0] 
dag74.txt 4_1x1.txt 0.13793103448275862 0.2 5079040.0 [0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0] 
dag74.txt 3_2x1.txt 0.09482758620689655 0.1 2430293.3333333335 [0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1] 
dag74.txt 4_1x1.txt 0.13793103448275862 0.25 5079040.0 [0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0] 
dag74.txt 3_2x1.txt 0.13793103448275862 0.15 2539520.0 [0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0] 
dag74.txt 3_2x5.txt 0.3706896551724138 1 507904.0 [5, 9, 1, 7, 2, 1, 8, 9, 1, 8, 8, 5, 2, 6, 7, 1, 2, 7, 8, 9, 1, 5, 2, 5, 5, 6, 1, 5, 6, 5, 1, 1, 9, 6, 2, 9, 9, 6, 5, 2, 6, 6, 2, 2, 6, 6, 8, 6, 4, 4, 7, 4, 0, 4, 0, 0, 8, 0, 7, 0, 8, 7, 8, 8, 4, 4, 2, 4, 4, 4, 3, 4, 3, 3, 3, 3, 3, 3] 
dag74.txt 4_1x1.txt 0.13793103448275862 0.3 5079040.0 [0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0] 
dag74.txt 3_2x1.txt 0.13793103448275862 0.2 2539520.0 [0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0] 
dag74.txt 4_1x1.txt 0.13793103448275862 0.35 5079040.0 [0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0] 
dag74.txt 3_2x1.txt 0.13793103448275862 0.25 2539520.0 [0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0] 
dag74.txt 4_1x1.txt 0.13793103448275862 0.4 5079040.0 [0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0] 
dag74.txt 3_2x1.txt 0.13793103448275862 0.3 2539520.0 [0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0] 
dag74.txt 3_2x1.txt 0.13793103448275862 0.35 2539520.0 [0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0] 
dag74.txt 4_1x1.txt 0.13793103448275862 0.45 5079040.0 [0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0] 
dag74.txt 3_2x1.txt 0.13793103448275862 0.4 2539520.0 [0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0] 
dag74.txt 3_2x1.txt 0.13793103448275862 0.45 2539520.0 [0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0] 
dag74.txt 3_2x4.txt 0.3793103448275862 0.5 638976.0 [1, 2, 3, 4, 0, 3, 3, 2, 3, 3, 6, 1, 0, 0, 4, 3, 0, 4, 3, 2, 3, 1, 0, 1, 6, 4, 7, 1, 0, 1, 7, 7, 3, 4, 1, 7, 7, 7, 1, 3, 0, 7, 0, 0, 4, 4, 2, 5, 2, 2, 3, 5, 6, 5, 1, 5, 3, 6, 4, 5, 3, 4, 3, 3, 2, 2, 2, 2, 5, 5, 6, 5, 6, 6, 2, 2, 6, 6] 
dag74.txt 3_2x4.txt 0.3793103448275862 0.55 638976.0 [1, 2, 3, 4, 0, 3, 3, 2, 3, 3, 6, 1, 0, 0, 4, 3, 0, 4, 3, 2, 3, 1, 0, 1, 6, 4, 7, 1, 0, 1, 7, 7, 3, 4, 1, 7, 7, 7, 1, 3, 0, 7, 0, 0, 4, 4, 2, 5, 2, 2, 3, 5, 6, 5, 1, 5, 3, 6, 4, 5, 3, 4, 3, 3, 2, 2, 2, 2, 5, 5, 6, 5, 6, 6, 2, 2, 6, 6] 
dag74.txt 3_2x4.txt 0.3793103448275862 0.7 638976.0 [1, 2, 3, 4, 0, 3, 3, 2, 3, 3, 6, 1, 0, 0, 4, 3, 0, 4, 3, 2, 3, 1, 0, 1, 6, 4, 7, 1, 0, 1, 7, 7, 3, 4, 1, 7, 7, 7, 1, 3, 0, 7, 0, 0, 4, 4, 2, 5, 2, 2, 3, 5, 6, 5, 1, 5, 3, 6, 4, 5, 3, 4, 3, 3, 2, 2, 2, 2, 5, 5, 6, 5, 6, 6, 2, 2, 6, 6] 
dag74.txt 3_2x4.txt 0.39655172413793105 0.6 638976.0 [0, 1, 4, 7, 0, 5, 2, 1, 5, 2, 0, 0, 7, 6, 7, 5, 6, 7, 2, 1, 4, 4, 4, 4, 0, 6, 1, 0, 6, 4, 1, 1, 1, 6, 0, 1, 5, 5, 4, 0, 6, 5, 2, 2, 6, 6, 0, 2, 3, 0, 7, 2, 3, 2, 4, 4, 1, 3, 7, 3, 2, 7, 0, 0, 3, 3, 3, 7, 3, 3, 5, 3, 6, 5, 3, 3, 3, 3] 
dag74.txt 3_2x4.txt 0.3793103448275862 0.8 638976.0 [1, 2, 3, 4, 0, 3, 3, 2, 3, 3, 6, 1, 0, 0, 4, 3, 0, 4, 3, 2, 3, 1, 0, 1, 6, 4, 7, 1, 0, 1, 7, 7, 3, 4, 1, 7, 7, 7, 1, 3, 0, 7, 0, 0, 4, 4, 2, 5, 2, 2, 3, 5, 6, 5, 1, 5, 3, 6, 4, 5, 3, 4, 3, 3, 2, 2, 2, 2, 5, 5, 6, 5, 6, 6, 2, 2, 6, 6] 
dag74.txt 3_2x4.txt 0.3793103448275862 0.65 638976.0 [1, 2, 3, 4, 0, 3, 3, 2, 3, 3, 6, 1, 0, 0, 4, 3, 0, 4, 3, 2, 3, 1, 0, 1, 6, 4, 7, 1, 0, 1, 7, 7, 3, 4, 1, 7, 7, 7, 1, 3, 0, 7, 0, 0, 4, 4, 2, 5, 2, 2, 3, 5, 6, 5, 1, 5, 3, 6, 4, 5, 3, 4, 3, 3, 2, 2, 2, 2, 5, 5, 6, 5, 6, 6, 2, 2, 6, 6] 
dag74.txt 5_4_3_2x2.txt 0.35344827586206895 0.5 606208.0 [2, 6, 2, 6, 5, 0, 2, 6, 0, 2, 4, 4, 5, 0, 6, 0, 5, 6, 2, 6, 2, 2, 5, 5, 4, 6, 7, 2, 5, 2, 7, 7, 7, 0, 2, 7, 0, 0, 2, 2, 0, 0, 5, 5, 0, 0, 1, 3, 1, 1, 0, 3, 4, 3, 7, 4, 2, 4, 6, 4, 2, 1, 1, 1, 1, 1, 1, 1, 4, 4, 3, 4, 3, 3, 1, 1, 3, 3] 
dag74.txt 3_2x4.txt 0.39655172413793105 0.9 638976.0 [0, 1, 4, 7, 0, 5, 2, 1, 5, 2, 0, 0, 7, 6, 7, 5, 6, 7, 2, 1, 4, 4, 4, 4, 0, 6, 1, 0, 6, 4, 1, 1, 1, 6, 0, 1, 5, 5, 4, 0, 6, 5, 2, 2, 6, 6, 0, 2, 3, 0, 7, 2, 3, 2, 4, 4, 1, 3, 7, 3, 2, 7, 0, 0, 3, 3, 3, 7, 3, 3, 5, 3, 6, 5, 3, 3, 3, 3] 
dag74.txt 5_4_3_2x2.txt 0.39655172413793105 0.7 630784.0 [0, 2, 1, 7, 0, 3, 4, 2, 3, 4, 0, 0, 7, 5, 7, 3, 5, 7, 4, 2, 1, 1, 1, 1, 0, 5, 2, 0, 5, 1, 2, 2, 2, 5, 0, 2, 3, 3, 1, 0, 5, 3, 4, 4, 5, 5, 0, 4, 6, 0, 7, 4, 6, 4, 1, 1, 2, 6, 7, 6, 4, 7, 0, 0, 6, 6, 6, 7, 6, 6, 3, 6, 5, 3, 6, 6, 6, 6] 
dag74.txt 5_4_3_2x2.txt 0.3793103448275862 0.55 630784.0 [2, 4, 6, 1, 0, 6, 6, 4, 6, 6, 5, 2, 0, 0, 1, 6, 0, 1, 6, 4, 6, 2, 0, 2, 5, 1, 7, 2, 0, 2, 7, 7, 6, 1, 2, 7, 7, 7, 2, 6, 0, 7, 0, 0, 1, 1, 4, 3, 4, 4, 6, 3, 5, 3, 2, 3, 6, 5, 1, 3, 6, 1, 6, 6, 4, 4, 4, 4, 3, 3, 5, 3, 5, 5, 4, 4, 5, 5] 
dag74.txt 3_2x4.txt 0.3793103448275862 1 638976.0 [1, 2, 3, 4, 0, 3, 3, 2, 3, 3, 6, 1, 0, 0, 4, 3, 0, 4, 3, 2, 3, 1, 0, 1, 6, 4, 7, 1, 0, 1, 7, 7, 3, 4, 1, 7, 7, 7, 1, 3, 0, 7, 0, 0, 4, 4, 2, 5, 2, 2, 3, 5, 6, 5, 1, 5, 3, 6, 4, 5, 3, 4, 3, 3, 2, 2, 2, 2, 5, 5, 6, 5, 6, 6, 2, 2, 6, 6] 
dag74.txt 4_1x5.txt 0.3706896551724138 0.5 1015808.0 [9, 0, 1, 7, 9, 1, 3, 0, 1, 4, 2, 9, 9, 3, 7, 1, 9, 7, 4, 0, 1, 4, 3, 6, 9, 5, 4, 9, 5, 6, 6, 6, 4, 5, 9, 4, 1, 5, 4, 4, 3, 5, 3, 4, 5, 5, 0, 3, 0, 0, 7, 3, 2, 8, 8, 8, 4, 4, 7, 8, 4, 7, 0, 0, 0, 0, 0, 2, 2, 2, 1, 2, 5, 1, 0, 2, 2, 2] 
dag74.txt 5_4_3_2x2.txt 0.3793103448275862 0.8 630784.0 [2, 4, 6, 1, 0, 6, 6, 4, 6, 6, 5, 2, 0, 0, 1, 6, 0, 1, 6, 4, 6, 2, 0, 2, 5, 1, 7, 2, 0, 2, 7, 7, 6, 1, 2, 7, 7, 7, 2, 6, 0, 7, 0, 0, 1, 1, 4, 3, 4, 4, 6, 3, 5, 3, 2, 3, 6, 5, 1, 3, 6, 1, 6, 6, 4, 4, 4, 4, 3, 3, 5, 3, 5, 5, 4, 4, 5, 5] 
dag74.txt 5_4_3_2x2.txt 0.3793103448275862 0.6 630784.0 [2, 4, 6, 1, 0, 6, 6, 4, 6, 6, 5, 2, 0, 0, 1, 6, 0, 1, 6, 4, 6, 2, 0, 2, 5, 1, 7, 2, 0, 2, 7, 7, 6, 1, 2, 7, 7, 7, 2, 6, 0, 7, 0, 0, 1, 1, 4, 3, 4, 4, 6, 3, 5, 3, 2, 3, 6, 5, 1, 3, 6, 1, 6, 6, 4, 4, 4, 4, 3, 3, 5, 3, 5, 5, 4, 4, 5, 5] 
dag74.txt 5_4_3_2x2.txt 0.3793103448275862 0.9 630784.0 [2, 4, 6, 1, 0, 6, 6, 4, 6, 6, 5, 2, 0, 0, 1, 6, 0, 1, 6, 4, 6, 2, 0, 2, 5, 1, 7, 2, 0, 2, 7, 7, 6, 1, 2, 7, 7, 7, 2, 6, 0, 7, 0, 0, 1, 1, 4, 3, 4, 4, 6, 3, 5, 3, 2, 3, 6, 5, 1, 3, 6, 1, 6, 6, 4, 4, 4, 4, 3, 3, 5, 3, 5, 5, 4, 4, 5, 5] 
dag74.txt 4_1x5.txt 0.39655172413793105 0.55 1015808.0 [2, 1, 8, 8, 3, 9, 7, 1, 8, 7, 2, 2, 3, 5, 8, 6, 3, 8, 7, 1, 8, 7, 3, 2, 2, 8, 9, 2, 3, 2, 0, 0, 0, 5, 7, 0, 6, 0, 7, 7, 5, 5, 3, 3, 5, 5, 1, 5, 1, 1, 6, 5, 4, 5, 7, 4, 7, 4, 8, 4, 7, 6, 1, 1, 1, 1, 6, 1, 4, 4, 9, 4, 9, 9, 6, 6, 6, 6] 
dag74.txt 5_4_3_2x2.txt 0.3793103448275862 0.65 630784.0 [2, 4, 6, 1, 0, 6, 6, 4, 6, 6, 5, 2, 0, 0, 1, 6, 0, 1, 6, 4, 6, 2, 0, 2, 5, 1, 7, 2, 0, 2, 7, 7, 6, 1, 2, 7, 7, 7, 2, 6, 0, 7, 0, 0, 1, 1, 4, 3, 4, 4, 6, 3, 5, 3, 2, 3, 6, 5, 1, 3, 6, 1, 6, 6, 4, 4, 4, 4, 3, 3, 5, 3, 5, 5, 4, 4, 5, 5] 
dag74.txt 4_1x5.txt 0.3706896551724138 0.7 1015808.0 [2, 8, 6, 9, 2, 0, 1, 8, 6, 1, 2, 2, 5, 5, 9, 6, 5, 9, 1, 8, 6, 3, 5, 3, 2, 0, 1, 2, 5, 3, 1, 6, 1, 7, 2, 6, 6, 6, 3, 3, 7, 7, 5, 7, 7, 7, 8, 7, 8, 8, 6, 7, 4, 7, 3, 4, 1, 4, 9, 4, 1, 9, 8, 8, 8, 8, 2, 8, 4, 4, 0, 4, 0, 0, 2, 2, 4, 2] 
