dag74.txt 4_1x1.txt 0.25862068965517243 0.8 2060288.0 [0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0] 
dag74.txt 5_4_3_2x3.txt 0.46551724137931033 0.65 273066.6666666667 [3, 11, 0, 8, 6, 4, 6, 11, 11, 7, 1, 3, 10, 6, 4, 11, 6, 4, 7, 4, 0, 0, 6, 0, 3, 5, 7, 0, 6, 0, 9, 9, 9, 5, 3, 9, 11, 5, 0, 8, 10, 5, 6, 8, 5, 5, 1, 10, 1, 1, 11, 10, 2, 8, 0, 8, 7, 2, 4, 2, 8, 4, 1, 1, 1, 1, 3, 2, 2, 2, 7, 2, 5, 7, 3, 3, 2, 3] 
dag74.txt 4_1x4.txt 0.5517241379310345 0.6 528384.0 [1, 2, 3, 6, 0, 4, 3, 2, 3, 3, 6, 1, 4, 0, 4, 3, 6, 4, 3, 2, 3, 1, 0, 4, 6, 4, 7, 6, 0, 2, 0, 0, 0, 4, 1, 7, 4, 7, 1, 3, 0, 7, 0, 0, 4, 4, 2, 5, 2, 2, 3, 0, 6, 0, 1, 2, 3, 6, 4, 5, 2, 4, 3, 3, 2, 2, 2, 2, 5, 5, 6, 5, 6, 6, 2, 2, 6, 6] 
dag74.txt 5_4_3_2x3.txt 0.46551724137931033 0.7 273066.6666666667 [3, 11, 0, 8, 6, 4, 6, 11, 11, 7, 1, 3, 10, 6, 4, 11, 6, 4, 7, 4, 0, 0, 6, 0, 3, 5, 7, 0, 6, 0, 9, 9, 9, 5, 3, 9, 11, 5, 0, 8, 10, 5, 6, 8, 5, 5, 1, 10, 1, 1, 11, 10, 2, 8, 0, 8, 7, 2, 4, 2, 8, 4, 1, 1, 1, 1, 3, 2, 2, 2, 7, 2, 5, 7, 3, 3, 2, 3] 
dag74.txt 4_1x5.txt 0.13793103448275862 0.15 2015232.0 [0, 0, 0, 4, 2, 2, 0, 0, 0, 0, 2, 0, 2, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
dag74.txt 4_1x4.txt 0.5517241379310345 0.65 528384.0 [1, 2, 3, 6, 0, 4, 3, 2, 3, 3, 6, 1, 4, 0, 4, 3, 6, 4, 3, 2, 3, 1, 0, 4, 6, 4, 7, 6, 0, 2, 0, 0, 0, 4, 1, 7, 4, 7, 1, 3, 0, 7, 0, 0, 4, 4, 2, 5, 2, 2, 3, 0, 6, 0, 1, 2, 3, 6, 4, 5, 2, 4, 3, 3, 2, 2, 2, 2, 5, 5, 6, 5, 6, 6, 2, 2, 6, 6] 
dag74.txt 5_4_3_2x3.txt 0.46551724137931033 0.8 273066.6666666667 [3, 11, 0, 8, 6, 4, 6, 11, 11, 7, 1, 3, 10, 6, 4, 11, 6, 4, 7, 4, 0, 0, 6, 0, 3, 5, 7, 0, 6, 0, 9, 9, 9, 5, 3, 9, 11, 5, 0, 8, 10, 5, 6, 8, 5, 5, 1, 10, 1, 1, 11, 10, 2, 8, 0, 8, 7, 2, 4, 2, 8, 4, 1, 1, 1, 1, 3, 2, 2, 2, 7, 2, 5, 7, 3, 3, 2, 3] 
dag74.txt 4_1x1.txt 0.25862068965517243 0.9 2060288.0 [0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0] 
dag74.txt 4_1x4.txt 0.5517241379310345 0.7 528384.0 [1, 2, 3, 6, 0, 4, 3, 2, 3, 3, 6, 1, 4, 0, 4, 3, 6, 4, 3, 2, 3, 1, 0, 4, 6, 4, 7, 6, 0, 2, 0, 0, 0, 4, 1, 7, 4, 7, 1, 3, 0, 7, 0, 0, 4, 4, 2, 5, 2, 2, 3, 0, 6, 0, 1, 2, 3, 6, 4, 5, 2, 4, 3, 3, 2, 2, 2, 2, 5, 5, 6, 5, 6, 6, 2, 2, 6, 6] 
dag74.txt 5_4_3_2x3.txt 0.46551724137931033 0.9 273066.6666666667 [3, 11, 0, 8, 6, 4, 6, 11, 11, 7, 1, 3, 10, 6, 4, 11, 6, 4, 7, 4, 0, 0, 6, 0, 3, 5, 7, 0, 6, 0, 9, 9, 9, 5, 3, 9, 11, 5, 0, 8, 10, 5, 6, 8, 5, 5, 1, 10, 1, 1, 11, 10, 2, 8, 0, 8, 7, 2, 4, 2, 8, 4, 1, 1, 1, 1, 3, 2, 2, 2, 7, 2, 5, 7, 3, 3, 2, 3] 
dag74.txt 4_1x4.txt 0.5517241379310345 0.8 528384.0 [1, 2, 3, 6, 0, 4, 3, 2, 3, 3, 6, 1, 4, 0, 4, 3, 6, 4, 3, 2, 3, 1, 0, 4, 6, 4, 7, 6, 0, 2, 0, 0, 0, 4, 1, 7, 4, 7, 1, 3, 0, 7, 0, 0, 4, 4, 2, 5, 2, 2, 3, 0, 6, 0, 1, 2, 3, 6, 4, 5, 2, 4, 3, 3, 2, 2, 2, 2, 5, 5, 6, 5, 6, 6, 2, 2, 6, 6] 
dag74.txt 4_1x1.txt 0.25862068965517243 1 2060288.0 [0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0] 
dag74.txt 5_4_3_2x3.txt 0.46551724137931033 1 273066.6666666667 [3, 11, 0, 8, 6, 4, 6, 11, 11, 7, 1, 3, 10, 6, 4, 11, 6, 4, 7, 4, 0, 0, 6, 0, 3, 5, 7, 0, 6, 0, 9, 9, 9, 5, 3, 9, 11, 5, 0, 8, 10, 5, 6, 8, 5, 5, 1, 10, 1, 1, 11, 10, 2, 8, 0, 8, 7, 2, 4, 2, 8, 4, 1, 1, 1, 1, 3, 2, 2, 2, 7, 2, 5, 7, 3, 3, 2, 3] 
dag74.txt 4_1x5.txt 0.19827586206896552 0.2 1540096.0 [2, 0, 0, 3, 4, 8, 0, 0, 0, 0, 2, 2, 4, 9, 6, 0, 4, 6, 0, 0, 0, 0, 0, 0, 2, 1, 0, 2, 0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 5, 8, 0, 0, 0, 0] 
dag74.txt 4_1x4.txt 0.5517241379310345 0.9 528384.0 [1, 2, 3, 6, 0, 4, 3, 2, 3, 3, 6, 1, 4, 0, 4, 3, 6, 4, 3, 2, 3, 1, 0, 4, 6, 4, 7, 6, 0, 2, 0, 0, 0, 4, 1, 7, 4, 7, 1, 3, 0, 7, 0, 0, 4, 4, 2, 5, 2, 2, 3, 0, 6, 0, 1, 2, 3, 6, 4, 5, 2, 4, 3, 3, 2, 2, 2, 2, 5, 5, 6, 5, 6, 6, 2, 2, 6, 6] 
dag74.txt 4_1x4.txt 0.5517241379310345 1 528384.0 [1, 2, 3, 6, 0, 4, 3, 2, 3, 3, 6, 1, 4, 0, 4, 3, 6, 4, 3, 2, 3, 1, 0, 4, 6, 4, 7, 6, 0, 2, 0, 0, 0, 4, 1, 7, 4, 7, 1, 3, 0, 7, 0, 0, 4, 4, 2, 5, 2, 2, 3, 0, 6, 0, 1, 2, 3, 6, 4, 5, 2, 4, 3, 3, 2, 2, 2, 2, 5, 5, 6, 5, 6, 6, 2, 2, 6, 6] 
dag74.txt 4_1x2.txt 0.41379310344827586 0.5 1032192.0 [1, 1, 3, 2, 1, 2, 3, 1, 0, 3, 2, 1, 2, 3, 2, 0, 2, 2, 3, 0, 3, 3, 3, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 3, 0, 0, 0, 3, 0, 0, 2, 3, 1, 1, 0, 0, 2, 2, 0, 0, 3, 2, 2, 2, 3, 2, 3, 3, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1] 
dag74.txt 3_2x2.txt 0.33620689655172414 0.5 1026730.6666666666 [1, 1, 3, 2, 1, 2, 3, 1, 0, 3, 0, 1, 0, 3, 2, 0, 1, 2, 3, 1, 3, 3, 3, 0, 1, 2, 0, 1, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 3, 3, 3, 0, 3, 3, 0, 0, 1, 3, 1, 1, 0, 3, 2, 3, 0, 0, 3, 2, 2, 2, 3, 2, 3, 3, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1] 
dag74.txt 4_1x1.txt 0.09482758620689655 0.1 2883584.0 [0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1] 
dag74.txt 3_2x2.txt 0.33620689655172414 0.55 1026730.6666666666 [1, 1, 3, 2, 1, 2, 3, 1, 0, 3, 0, 1, 0, 3, 2, 0, 1, 2, 3, 1, 3, 3, 3, 0, 1, 2, 0, 1, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 3, 3, 3, 0, 3, 3, 0, 0, 1, 3, 1, 1, 0, 3, 2, 3, 0, 0, 3, 2, 2, 2, 3, 2, 3, 3, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1] 
dag74.txt 4_1x5.txt 0.25 0.25 1261568.0 [0, 2, 2, 1, 8, 2, 0, 2, 2, 0, 0, 0, 3, 0, 4, 2, 8, 4, 0, 2, 2, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 7, 0, 2, 0, 2, 2, 6, 0, 0, 0, 0, 0, 0, 0, 6, 0, 5, 6, 2, 6, 6, 6, 6, 6, 0, 6, 4, 6, 4, 4, 6, 6, 6, 6] 
dag74.txt 3_2x2.txt 0.33620689655172414 0.6 1026730.6666666666 [1, 1, 3, 2, 1, 2, 3, 1, 0, 3, 0, 1, 0, 3, 2, 0, 1, 2, 3, 1, 3, 3, 3, 0, 1, 2, 0, 1, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 3, 3, 3, 0, 3, 3, 0, 0, 1, 3, 1, 1, 0, 3, 2, 3, 0, 0, 3, 2, 2, 2, 3, 2, 3, 3, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1] 
dag74.txt 4_1x1.txt 0.13793103448275862 0.15 5079040.0 [0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0] 
dag74.txt 4_1x2.txt 0.41379310344827586 0.55 1032192.0 [1, 1, 3, 2, 1, 2, 3, 1, 0, 3, 2, 1, 2, 3, 2, 0, 2, 2, 3, 0, 3, 3, 3, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 3, 0, 0, 0, 3, 0, 0, 2, 3, 1, 1, 0, 0, 2, 2, 0, 0, 3, 2, 2, 2, 3, 2, 3, 3, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1] 
dag74.txt 5_4_3_2x5.txt 0.09482758620689655 0.1 1690828.8 [0, 0, 0, 8, 9, 0, 0, 0, 0, 0, 0, 0, 16, 5, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 4, 4, 0, 0, 0, 0] 
dag74.txt 4_1x1.txt 0.1896551724137931 0.2 4030464.0 [0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0] 
dag74.txt 4_1x2.txt 0.41379310344827586 0.6 1032192.0 [1, 1, 3, 2, 1, 2, 3, 1, 0, 3, 2, 1, 2, 3, 2, 0, 2, 2, 3, 0, 3, 3, 3, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 3, 0, 0, 0, 3, 0, 0, 2, 3, 1, 1, 0, 0, 2, 2, 0, 0, 3, 2, 2, 2, 3, 2, 3, 3, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1] 
dag74.txt 3_2x2.txt 0.33620689655172414 0.65 1026730.6666666666 [1, 1, 3, 2, 1, 2, 3, 1, 0, 3, 0, 1, 0, 3, 2, 0, 1, 2, 3, 1, 3, 3, 3, 0, 1, 2, 0, 1, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 3, 3, 3, 0, 3, 3, 0, 0, 1, 3, 1, 1, 0, 3, 2, 3, 0, 0, 3, 2, 2, 2, 3, 2, 3, 3, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1] 
dag74.txt 5_4_3_2x3.txt 0.07758620689655173 0.1 1749811.2 [0, 0, 0, 5, 1, 0, 0, 0, 0, 0, 8, 8, 9, 4, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
dag74.txt 4_1x1.txt 0.25 0.25 2195456.0 [0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0] 
dag74.txt 4_1x2.txt 0.41379310344827586 0.65 1032192.0 [1, 1, 3, 2, 1, 2, 3, 1, 0, 3, 2, 1, 2, 3, 2, 0, 2, 2, 3, 0, 3, 3, 3, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 3, 0, 0, 0, 3, 0, 0, 2, 3, 1, 1, 0, 0, 2, 2, 0, 0, 3, 2, 2, 2, 3, 2, 3, 3, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1] 
dag74.txt 3_2x2.txt 0.33620689655172414 0.7 1026730.6666666666 [1, 1, 3, 2, 1, 2, 3, 1, 0, 3, 0, 1, 0, 3, 2, 0, 1, 2, 3, 1, 3, 3, 3, 0, 1, 2, 0, 1, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 3, 3, 3, 0, 3, 3, 0, 0, 1, 3, 1, 1, 0, 3, 2, 3, 0, 0, 3, 2, 2, 2, 3, 2, 3, 3, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1] 
dag74.txt 4_1x1.txt 0.25862068965517243 0.3 2060288.0 [0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0] 
dag74.txt 3_2x2.txt 0.33620689655172414 0.8 1026730.6666666666 [1, 1, 3, 2, 1, 2, 3, 1, 0, 3, 0, 1, 0, 3, 2, 0, 1, 2, 3, 1, 3, 3, 3, 0, 1, 2, 0, 1, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 3, 3, 3, 0, 3, 3, 0, 0, 1, 3, 1, 1, 0, 3, 2, 3, 0, 0, 3, 2, 2, 2, 3, 2, 3, 3, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1] 
dag74.txt 3_2x4.txt 0.08620689655172414 0.1 2757973.3333333335 [0, 0, 0, 2, 0, 2, 0, 0, 0, 0, 2, 0, 4, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 2, 0, 0, 0, 0] 
dag74.txt 4_1x1.txt 0.25862068965517243 0.35 2060288.0 [0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0] 
dag74.txt 5_4_3_2x2.txt 0.08620689655172414 0.1 1654784.0 [0, 0, 0, 4, 0, 4, 0, 0, 0, 0, 4, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 4, 4, 0, 0, 0, 0] 
dag74.txt 4_1x2.txt 0.41379310344827586 0.7 1032192.0 [1, 1, 3, 2, 1, 2, 3, 1, 0, 3, 2, 1, 2, 3, 2, 0, 2, 2, 3, 0, 3, 3, 3, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 3, 0, 0, 0, 3, 0, 0, 2, 3, 1, 1, 0, 0, 2, 2, 0, 0, 3, 2, 2, 2, 3, 2, 3, 3, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1] 
dag74.txt 4_1x4.txt 0.08620689655172414 0.1 2068480.0 [0, 0, 0, 2, 0, 2, 0, 0, 0, 0, 2, 0, 4, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 2, 0, 0, 0, 0] 
dag74.txt 4_1x2.txt 0.41379310344827586 0.8 1032192.0 [1, 1, 3, 2, 1, 2, 3, 1, 0, 3, 2, 1, 2, 3, 2, 0, 2, 2, 3, 0, 3, 3, 3, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 3, 0, 0, 0, 3, 0, 0, 2, 3, 1, 1, 0, 0, 2, 2, 0, 0, 3, 2, 2, 2, 3, 2, 3, 3, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1] 
dag74.txt 5_4_3_2x3.txt 0.12931034482758622 0.15 1644953.6 [0, 0, 0, 5, 1, 4, 0, 0, 0, 0, 8, 8, 9, 4, 0, 0, 1, 4, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
dag74.txt 4_1x1.txt 0.25862068965517243 0.4 2060288.0 [0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0] 
dag74.txt 4_1x5.txt 0.29310344827586204 0.3 925696.0 [1, 0, 0, 7, 1, 5, 0, 0, 0, 0, 9, 1, 8, 2, 4, 0, 8, 4, 0, 0, 0, 0, 2, 0, 1, 4, 3, 1, 2, 0, 3, 0, 0, 2, 1, 0, 0, 0, 0, 0, 2, 2, 0, 0, 4, 2, 0, 2, 2, 2, 4, 2, 2, 2, 0, 2, 0, 2, 4, 2, 0, 4, 0, 0, 2, 2, 1, 2, 2, 2, 5, 2, 6, 6, 6, 6, 6, 6] 
dag74.txt 3_2x2.txt 0.33620689655172414 0.9 1026730.6666666666 [1, 1, 3, 2, 1, 2, 3, 1, 0, 3, 0, 1, 0, 3, 2, 0, 1, 2, 3, 1, 3, 3, 3, 0, 1, 2, 0, 1, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 3, 3, 3, 0, 3, 3, 0, 0, 1, 3, 1, 1, 0, 3, 2, 3, 0, 0, 3, 2, 2, 2, 3, 2, 3, 3, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1] 
dag74.txt 4_1x1.txt 0.25862068965517243 0.45 2060288.0 [0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0] 
dag74.txt 4_1x5.txt 0.3448275862068966 0.35 999424.0 [1, 9, 1, 3, 5, 0, 8, 9, 2, 8, 6, 1, 5, 5, 3, 2, 5, 3, 8, 9, 1, 1, 5, 1, 1, 2, 0, 1, 2, 1, 0, 0, 0, 2, 8, 0, 2, 2, 1, 8, 5, 2, 8, 8, 2, 2, 9, 5, 9, 9, 2, 4, 6, 4, 4, 4, 8, 6, 3, 6, 8, 3, 8, 8, 8, 8, 8, 8, 6, 6, 7, 6, 7, 7, 3, 7, 7, 7] 
dag74.txt 4_1x2.txt 0.41379310344827586 0.9 1032192.0 [1, 1, 3, 2, 1, 2, 3, 1, 0, 3, 2, 1, 2, 3, 2, 0, 2, 2, 3, 0, 3, 3, 3, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 3, 0, 0, 0, 3, 0, 0, 2, 3, 1, 1, 0, 0, 2, 2, 0, 0, 3, 2, 2, 2, 3, 2, 3, 3, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1] 
dag74.txt 3_2x3.txt 0.08620689655172414 0.1 2790741.3333333335 [0, 0, 0, 2, 4, 2, 0, 0, 0, 0, 0, 0, 4, 1, 2, 0, 4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
dag74.txt 4_1x5.txt 0.39655172413793105 0.4 966656.0 [5, 9, 1, 7, 2, 0, 8, 9, 1, 8, 8, 5, 2, 6, 7, 1, 2, 7, 8, 9, 1, 5, 2, 5, 5, 6, 1, 5, 6, 5, 1, 1, 9, 6, 2, 9, 9, 6, 5, 2, 6, 6, 2, 2, 6, 6, 8, 6, 4, 4, 7, 4, 0, 4, 0, 0, 8, 0, 7, 0, 8, 7, 8, 8, 4, 4, 2, 4, 4, 4, 3, 4, 0, 3, 3, 3, 3, 3] 
dag74.txt 5_4_3_2x5.txt 0.13793103448275862 0.15 1585971.2 [0, 0, 0, 12, 13, 4, 0, 0, 0, 0, 0, 0, 1, 0, 8, 0, 16, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0] 
dag74.txt 3_2x2.txt 0.33620689655172414 1 1026730.6666666666 [1, 1, 3, 2, 1, 2, 3, 1, 0, 3, 0, 1, 0, 3, 2, 0, 1, 2, 3, 1, 3, 3, 3, 0, 1, 2, 0, 1, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 3, 3, 3, 0, 3, 3, 0, 0, 1, 3, 1, 1, 0, 3, 2, 3, 0, 0, 3, 2, 2, 2, 3, 2, 3, 3, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1] 
