dag0.txt 3_2x4.txt True 0.2986111111111111 0.3 909312.0 [2, 0, 3, 5, 5, 5, 6, 7, 4, 2, 7, 7, 0, 7, 4, 5, 4, 2, 2, 2, 7, 7, 2, 0, 5, 5, 7, 2, 7, 1, 0, 1, 4, 1, 2, 0, 5, 2, 5, 2, 3, 0, 2, 2, 1, 5, 4, 1, 6, 1, 3, 3, 6, 0, 1, 0, 0, 0, 0, 0, 1, 1, 2, 0, 4, 1, 1, 1, 0, 0, 4, 4, 4, 4, 2, 4, 6, 6, 4, 4, 6, 3, 3, 6, 3, 3, 0, 3, 6, 3, 4, 6, 6, 6, 6, 6] 
dag0.txt 3_2x4.txt True 0.3263888888888889 0.35 909312.0 [7, 4, 0, 3, 3, 3, 2, 1, 5, 7, 5, 1, 5, 1, 0, 3, 5, 1, 7, 7, 1, 1, 2, 5, 3, 3, 1, 1, 1, 2, 5, 2, 2, 2, 1, 6, 3, 1, 3, 3, 0, 6, 7, 3, 2, 3, 2, 2, 2, 0, 1, 3, 4, 0, 2, 6, 4, 6, 6, 6, 0, 0, 7, 6, 5, 0, 0, 0, 6, 6, 0, 0, 5, 6, 7, 5, 6, 6, 5, 5, 2, 7, 7, 4, 7, 7, 4, 7, 4, 4, 5, 4, 4, 4, 4, 4] 
dag0.txt 3_2x4.txt True 0.3680555555555556 0.4 712704.0 [3, 0, 3, 2, 2, 2, 0, 5, 0, 7, 5, 5, 0, 5, 5, 5, 7, 7, 1, 3, 5, 5, 1, 0, 2, 2, 5, 7, 1, 1, 0, 1, 7, 2, 7, 4, 2, 7, 2, 2, 3, 4, 2, 2, 1, 2, 1, 1, 0, 4, 5, 5, 6, 4, 7, 6, 6, 6, 6, 6, 4, 1, 1, 6, 5, 1, 3, 1, 4, 4, 3, 4, 0, 4, 7, 7, 4, 4, 7, 7, 0, 3, 3, 0, 3, 3, 4, 3, 6, 3, 0, 0, 6, 6, 6, 6] 
dag0.txt 3_2x4.txt True 0.3680555555555556 0.45 712704.0 [3, 0, 3, 2, 2, 2, 0, 5, 0, 7, 5, 5, 0, 5, 5, 5, 7, 7, 1, 3, 5, 5, 1, 0, 2, 2, 5, 7, 1, 1, 0, 1, 7, 2, 7, 4, 2, 7, 2, 2, 3, 4, 2, 2, 1, 2, 1, 1, 0, 4, 5, 5, 6, 4, 7, 6, 6, 6, 6, 6, 4, 1, 1, 6, 5, 1, 3, 1, 4, 4, 3, 4, 0, 4, 7, 7, 4, 4, 7, 7, 0, 3, 3, 0, 3, 3, 4, 3, 6, 3, 0, 0, 6, 6, 6, 6] 
dag0.txt 3_2x4.txt True 0.3680555555555556 0.5 712704.0 [3, 0, 3, 2, 2, 2, 0, 5, 0, 7, 5, 5, 0, 5, 5, 5, 7, 7, 1, 3, 5, 5, 1, 0, 2, 2, 5, 7, 1, 1, 0, 1, 7, 2, 7, 4, 2, 7, 2, 2, 3, 4, 2, 2, 1, 2, 1, 1, 0, 4, 5, 5, 6, 4, 7, 6, 6, 6, 6, 6, 4, 1, 1, 6, 5, 1, 3, 1, 4, 4, 3, 4, 0, 4, 7, 7, 4, 4, 7, 7, 0, 3, 3, 0, 3, 3, 4, 3, 6, 3, 0, 0, 6, 6, 6, 6] 
dag0.txt 3_2x4.txt True 0.3680555555555556 0.55 712704.0 [3, 0, 3, 2, 2, 2, 0, 5, 0, 7, 5, 5, 0, 5, 5, 5, 7, 7, 1, 3, 5, 5, 1, 0, 2, 2, 5, 7, 1, 1, 0, 1, 7, 2, 7, 4, 2, 7, 2, 2, 3, 4, 2, 2, 1, 2, 1, 1, 0, 4, 5, 5, 6, 4, 7, 6, 6, 6, 6, 6, 4, 1, 1, 6, 5, 1, 3, 1, 4, 4, 3, 4, 0, 4, 7, 7, 4, 4, 7, 7, 0, 3, 3, 0, 3, 3, 4, 3, 6, 3, 0, 0, 6, 6, 6, 6] 
dag0.txt 3_2x4.txt True 0.3680555555555556 0.6 712704.0 [3, 0, 3, 2, 2, 2, 0, 5, 0, 7, 5, 5, 0, 5, 5, 5, 7, 7, 1, 3, 5, 5, 1, 0, 2, 2, 5, 7, 1, 1, 0, 1, 7, 2, 7, 4, 2, 7, 2, 2, 3, 4, 2, 2, 1, 2, 1, 1, 0, 4, 5, 5, 6, 4, 7, 6, 6, 6, 6, 6, 4, 1, 1, 6, 5, 1, 3, 1, 4, 4, 3, 4, 0, 4, 7, 7, 4, 4, 7, 7, 0, 3, 3, 0, 3, 3, 4, 3, 6, 3, 0, 0, 6, 6, 6, 6] 
dag0.txt 3_2x4.txt True 0.3680555555555556 0.65 712704.0 [3, 0, 3, 2, 2, 2, 0, 5, 0, 7, 5, 5, 0, 5, 5, 5, 7, 7, 1, 3, 5, 5, 1, 0, 2, 2, 5, 7, 1, 1, 0, 1, 7, 2, 7, 4, 2, 7, 2, 2, 3, 4, 2, 2, 1, 2, 1, 1, 0, 4, 5, 5, 6, 4, 7, 6, 6, 6, 6, 6, 4, 1, 1, 6, 5, 1, 3, 1, 4, 4, 3, 4, 0, 4, 7, 7, 4, 4, 7, 7, 0, 3, 3, 0, 3, 3, 4, 3, 6, 3, 0, 0, 6, 6, 6, 6] 
dag0.txt 3_2x4.txt True 0.3680555555555556 0.7 712704.0 [3, 0, 3, 2, 2, 2, 0, 5, 0, 7, 5, 5, 0, 5, 5, 5, 7, 7, 1, 3, 5, 5, 1, 0, 2, 2, 5, 7, 1, 1, 0, 1, 7, 2, 7, 4, 2, 7, 2, 2, 3, 4, 2, 2, 1, 2, 1, 1, 0, 4, 5, 5, 6, 4, 7, 6, 6, 6, 6, 6, 4, 1, 1, 6, 5, 1, 3, 1, 4, 4, 3, 4, 0, 4, 7, 7, 4, 4, 7, 7, 0, 3, 3, 0, 3, 3, 4, 3, 6, 3, 0, 0, 6, 6, 6, 6] 
dag0.txt 3_2x4.txt True 0.3680555555555556 0.75 712704.0 [3, 0, 3, 2, 2, 2, 0, 5, 0, 7, 5, 5, 0, 5, 5, 5, 7, 7, 1, 3, 5, 5, 1, 0, 2, 2, 5, 7, 1, 1, 0, 1, 7, 2, 7, 4, 2, 7, 2, 2, 3, 4, 2, 2, 1, 2, 1, 1, 0, 4, 5, 5, 6, 4, 7, 6, 6, 6, 6, 6, 4, 1, 1, 6, 5, 1, 3, 1, 4, 4, 3, 4, 0, 4, 7, 7, 4, 4, 7, 7, 0, 3, 3, 0, 3, 3, 4, 3, 6, 3, 0, 0, 6, 6, 6, 6] 
dag0.txt 3_2x4.txt True 0.3680555555555556 0.8 712704.0 [3, 0, 3, 2, 2, 2, 0, 5, 0, 7, 5, 5, 0, 5, 5, 5, 7, 7, 1, 3, 5, 5, 1, 0, 2, 2, 5, 7, 1, 1, 0, 1, 7, 2, 7, 4, 2, 7, 2, 2, 3, 4, 2, 2, 1, 2, 1, 1, 0, 4, 5, 5, 6, 4, 7, 6, 6, 6, 6, 6, 4, 1, 1, 6, 5, 1, 3, 1, 4, 4, 3, 4, 0, 4, 7, 7, 4, 4, 7, 7, 0, 3, 3, 0, 3, 3, 4, 3, 6, 3, 0, 0, 6, 6, 6, 6] 
dag0.txt 3_2x4.txt True 0.3680555555555556 0.85 712704.0 [3, 0, 3, 2, 2, 2, 0, 5, 0, 7, 5, 5, 0, 5, 5, 5, 7, 7, 1, 3, 5, 5, 1, 0, 2, 2, 5, 7, 1, 1, 0, 1, 7, 2, 7, 4, 2, 7, 2, 2, 3, 4, 2, 2, 1, 2, 1, 1, 0, 4, 5, 5, 6, 4, 7, 6, 6, 6, 6, 6, 4, 1, 1, 6, 5, 1, 3, 1, 4, 4, 3, 4, 0, 4, 7, 7, 4, 4, 7, 7, 0, 3, 3, 0, 3, 3, 4, 3, 6, 3, 0, 0, 6, 6, 6, 6] 
dag0.txt 3_2x4.txt True 0.3680555555555556 0.9 712704.0 [3, 0, 3, 2, 2, 2, 0, 5, 0, 7, 5, 5, 0, 5, 5, 5, 7, 7, 1, 3, 5, 5, 1, 0, 2, 2, 5, 7, 1, 1, 0, 1, 7, 2, 7, 4, 2, 7, 2, 2, 3, 4, 2, 2, 1, 2, 1, 1, 0, 4, 5, 5, 6, 4, 7, 6, 6, 6, 6, 6, 4, 1, 1, 6, 5, 1, 3, 1, 4, 4, 3, 4, 0, 4, 7, 7, 4, 4, 7, 7, 0, 3, 3, 0, 3, 3, 4, 3, 6, 3, 0, 0, 6, 6, 6, 6] 
dag0.txt 3_2x4.txt True 0.3680555555555556 0.95 712704.0 [3, 0, 3, 2, 2, 2, 0, 5, 0, 7, 5, 5, 0, 5, 5, 5, 7, 7, 1, 3, 5, 5, 1, 0, 2, 2, 5, 7, 1, 1, 0, 1, 7, 2, 7, 4, 2, 7, 2, 2, 3, 4, 2, 2, 1, 2, 1, 1, 0, 4, 5, 5, 6, 4, 7, 6, 6, 6, 6, 6, 4, 1, 1, 6, 5, 1, 3, 1, 4, 4, 3, 4, 0, 4, 7, 7, 4, 4, 7, 7, 0, 3, 3, 0, 3, 3, 4, 3, 6, 3, 0, 0, 6, 6, 6, 6] 
dag0.txt 3_2x4.txt True 0.3680555555555556 1 712704.0 [3, 0, 3, 2, 2, 2, 0, 5, 0, 7, 5, 5, 0, 5, 5, 5, 7, 7, 1, 3, 5, 5, 1, 0, 2, 2, 5, 7, 1, 1, 0, 1, 7, 2, 7, 4, 2, 7, 2, 2, 3, 4, 2, 2, 1, 2, 1, 1, 0, 4, 5, 5, 6, 4, 7, 6, 6, 6, 6, 6, 4, 1, 1, 6, 5, 1, 3, 1, 4, 4, 3, 4, 0, 4, 7, 7, 4, 4, 7, 7, 0, 3, 3, 0, 3, 3, 4, 3, 6, 3, 0, 0, 6, 6, 6, 6] 
dag0.txt 5_4_3_2x2.txt True 0.0 0.04 2457600.0 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
dag0.txt 5_4_3_2x2.txt True 0.0 0.06 2457600.0 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
dag0.txt 5_4_3_2x2.txt True 0.0763888888888889 0.08 2195456.0 [0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 4, 0, 4, 4, 4, 4, 4, 4, 4, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
dag0.txt 5_4_3_2x2.txt True 0.0763888888888889 0.1 2195456.0 [0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 4, 0, 4, 4, 4, 4, 4, 4, 4, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
dag0.txt 5_4_3_2x2.txt True 0.0763888888888889 0.12 2195456.0 [0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 4, 0, 4, 4, 4, 4, 4, 4, 4, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
dag0.txt 5_4_3_2x2.txt True 0.125 0.14 1585971.2 [0, 0, 0, 4, 4, 4, 4, 4, 0, 0, 4, 4, 0, 4, 0, 4, 0, 0, 0, 0, 4, 4, 0, 0, 4, 4, 4, 0, 4, 0, 0, 0, 0, 0, 4, 0, 4, 4, 4, 4, 0, 0, 0, 4, 1, 4, 1, 1, 0, 0, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4, 4, 4, 4, 0, 0, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
dag0.txt 5_4_3_2x2.txt True 0.125 0.16 1585971.2 [0, 0, 0, 4, 4, 4, 4, 4, 0, 0, 4, 4, 0, 4, 0, 4, 0, 0, 0, 0, 4, 4, 0, 0, 4, 4, 4, 0, 4, 0, 0, 0, 0, 0, 4, 0, 4, 4, 4, 4, 0, 0, 0, 4, 1, 4, 1, 1, 0, 0, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4, 4, 4, 4, 0, 0, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
dag0.txt 5_4_3_2x2.txt True 0.125 0.18 1585971.2 [0, 0, 0, 4, 4, 4, 4, 4, 0, 0, 4, 4, 0, 4, 0, 4, 0, 0, 0, 0, 4, 4, 0, 0, 4, 4, 4, 0, 4, 0, 0, 0, 0, 0, 4, 0, 4, 4, 4, 4, 0, 0, 0, 4, 1, 4, 1, 1, 0, 0, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4, 4, 4, 4, 0, 0, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
dag0.txt 5_4_3_2x2.txt True 0.125 0.2 1585971.2 [0, 0, 0, 4, 4, 4, 4, 4, 0, 0, 4, 4, 0, 4, 0, 4, 0, 0, 0, 0, 4, 4, 0, 0, 4, 4, 4, 0, 4, 0, 0, 0, 0, 0, 4, 0, 4, 4, 4, 4, 0, 0, 0, 4, 1, 4, 1, 1, 0, 0, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4, 4, 4, 4, 0, 0, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
dag0.txt 5_4_3_2x2.txt True 0.2152777777777778 0.25 1209139.2 [0, 5, 0, 6, 4, 4, 6, 2, 5, 0, 4, 2, 5, 4, 0, 4, 4, 0, 0, 0, 4, 4, 0, 5, 4, 4, 2, 0, 2, 0, 5, 0, 0, 0, 2, 0, 6, 2, 4, 2, 0, 0, 5, 1, 0, 1, 0, 0, 0, 0, 4, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 4, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 4, 0, 0, 4, 4, 6, 4, 0, 6, 4, 4, 0, 0, 0, 0, 5, 6, 0, 0, 0, 0] 
dag0.txt 5_4_3_2x2.txt True 0.2986111111111111 0.3 606208.0 [4, 0, 6, 3, 3, 3, 5, 7, 1, 4, 7, 7, 0, 7, 1, 3, 1, 4, 4, 4, 7, 7, 4, 0, 3, 3, 7, 4, 7, 2, 0, 2, 1, 2, 4, 0, 3, 4, 3, 4, 6, 0, 4, 4, 2, 3, 1, 2, 5, 2, 6, 6, 5, 0, 2, 0, 0, 0, 0, 0, 2, 2, 4, 0, 1, 2, 2, 2, 0, 0, 1, 1, 1, 1, 4, 1, 5, 5, 1, 1, 5, 6, 6, 5, 6, 6, 0, 6, 5, 6, 1, 5, 5, 5, 5, 5] 
dag0.txt 5_4_3_2x2.txt True 0.3263888888888889 0.35 909312.0 [7, 1, 0, 6, 6, 6, 4, 2, 3, 7, 3, 2, 3, 2, 0, 6, 3, 2, 7, 7, 2, 2, 4, 3, 6, 6, 2, 2, 2, 4, 3, 4, 4, 4, 2, 5, 6, 2, 6, 6, 0, 5, 7, 6, 4, 6, 4, 4, 4, 0, 2, 6, 1, 0, 4, 5, 1, 5, 5, 5, 0, 0, 7, 5, 3, 0, 0, 0, 5, 5, 0, 0, 3, 5, 7, 3, 5, 5, 3, 3, 4, 7, 7, 1, 7, 7, 1, 7, 1, 1, 3, 1, 1, 1, 1, 1] 
dag0.txt 5_4_3_2x2.txt True 0.3680555555555556 0.4 712704.0 [6, 0, 6, 4, 4, 4, 0, 3, 0, 7, 3, 3, 0, 3, 3, 3, 7, 7, 2, 6, 3, 3, 2, 0, 4, 4, 3, 7, 2, 2, 0, 2, 7, 4, 7, 1, 4, 7, 4, 4, 6, 1, 4, 4, 2, 4, 2, 2, 0, 1, 3, 3, 5, 1, 7, 5, 5, 5, 5, 5, 1, 2, 2, 5, 3, 2, 6, 2, 1, 1, 6, 1, 0, 1, 7, 7, 1, 1, 7, 7, 0, 6, 6, 0, 6, 6, 1, 6, 5, 6, 0, 0, 5, 5, 5, 5] 
dag0.txt 5_4_3_2x2.txt True 0.3680555555555556 0.45 712704.0 [6, 0, 6, 4, 4, 4, 0, 3, 0, 7, 3, 3, 0, 3, 3, 3, 7, 7, 2, 6, 3, 3, 2, 0, 4, 4, 3, 7, 2, 2, 0, 2, 7, 4, 7, 1, 4, 7, 4, 4, 6, 1, 4, 4, 2, 4, 2, 2, 0, 1, 3, 3, 5, 1, 7, 5, 5, 5, 5, 5, 1, 2, 2, 5, 3, 2, 6, 2, 1, 1, 6, 1, 0, 1, 7, 7, 1, 1, 7, 7, 0, 6, 6, 0, 6, 6, 1, 6, 5, 6, 0, 0, 5, 5, 5, 5] 
dag0.txt 5_4_3_2x2.txt True 0.3680555555555556 0.5 712704.0 [6, 0, 6, 4, 4, 4, 0, 3, 0, 7, 3, 3, 0, 3, 3, 3, 7, 7, 2, 6, 3, 3, 2, 0, 4, 4, 3, 7, 2, 2, 0, 2, 7, 4, 7, 1, 4, 7, 4, 4, 6, 1, 4, 4, 2, 4, 2, 2, 0, 1, 3, 3, 5, 1, 7, 5, 5, 5, 5, 5, 1, 2, 2, 5, 3, 2, 6, 2, 1, 1, 6, 1, 0, 1, 7, 7, 1, 1, 7, 7, 0, 6, 6, 0, 6, 6, 1, 6, 5, 6, 0, 0, 5, 5, 5, 5] 
dag0.txt 5_4_3_2x2.txt True 0.3680555555555556 0.55 712704.0 [6, 0, 6, 4, 4, 4, 0, 3, 0, 7, 3, 3, 0, 3, 3, 3, 7, 7, 2, 6, 3, 3, 2, 0, 4, 4, 3, 7, 2, 2, 0, 2, 7, 4, 7, 1, 4, 7, 4, 4, 6, 1, 4, 4, 2, 4, 2, 2, 0, 1, 3, 3, 5, 1, 7, 5, 5, 5, 5, 5, 1, 2, 2, 5, 3, 2, 6, 2, 1, 1, 6, 1, 0, 1, 7, 7, 1, 1, 7, 7, 0, 6, 6, 0, 6, 6, 1, 6, 5, 6, 0, 0, 5, 5, 5, 5] 
dag0.txt 5_4_3_2x2.txt True 0.3680555555555556 0.6 712704.0 [6, 0, 6, 4, 4, 4, 0, 3, 0, 7, 3, 3, 0, 3, 3, 3, 7, 7, 2, 6, 3, 3, 2, 0, 4, 4, 3, 7, 2, 2, 0, 2, 7, 4, 7, 1, 4, 7, 4, 4, 6, 1, 4, 4, 2, 4, 2, 2, 0, 1, 3, 3, 5, 1, 7, 5, 5, 5, 5, 5, 1, 2, 2, 5, 3, 2, 6, 2, 1, 1, 6, 1, 0, 1, 7, 7, 1, 1, 7, 7, 0, 6, 6, 0, 6, 6, 1, 6, 5, 6, 0, 0, 5, 5, 5, 5] 
