dag25.txt 3_2x4.txt True 0.2978723404255319 0.3 630784.0 [3, 0, 7, 1, 5, 7, 3, 7, 2, 4, 2, 3, 2, 2, 6, 0, 4, 4, 2, 2, 3, 7, 0, 7, 4, 6, 0, 3, 4, 2, 4, 2, 2, 2, 2, 5, 5, 6, 5, 5, 5, 5, 5, 5, 5, 6, 6, 1, 1, 6, 7, 7, 7, 7, 7, 6, 1, 0, 1, 2, 1, 7, 1, 1, 1, 5, 6, 2, 1, 0, 1, 0, 0, 0, 6, 4, 0, 6, 0, 3, 0, 3, 4, 4, 3, 6, 4, 4, 3, 3, 3, 3, 3] 
dag25.txt 3_2x4.txt True 0.3120567375886525 0.35 638976.0 [5, 2, 7, 4, 4, 7, 7, 7, 1, 0, 1, 5, 3, 3, 6, 2, 0, 0, 1, 3, 5, 7, 2, 7, 0, 6, 2, 0, 0, 3, 0, 1, 1, 1, 1, 1, 1, 6, 4, 1, 1, 4, 4, 4, 4, 6, 6, 4, 4, 6, 7, 3, 7, 7, 3, 6, 0, 2, 4, 3, 3, 7, 3, 7, 3, 4, 6, 1, 3, 2, 3, 2, 2, 2, 6, 0, 2, 6, 2, 5, 6, 5, 0, 0, 5, 6, 0, 2, 5, 5, 5, 5, 5] 
dag25.txt 3_2x4.txt True 0.3120567375886525 0.4 638976.0 [5, 2, 7, 4, 4, 7, 7, 7, 1, 0, 1, 5, 3, 3, 6, 2, 0, 0, 1, 3, 5, 7, 2, 7, 0, 6, 2, 0, 0, 3, 0, 1, 1, 1, 1, 1, 1, 6, 4, 1, 1, 4, 4, 4, 4, 6, 6, 4, 4, 6, 7, 3, 7, 7, 3, 6, 0, 2, 4, 3, 3, 7, 3, 7, 3, 4, 6, 1, 3, 2, 3, 2, 2, 2, 6, 0, 2, 6, 2, 5, 6, 5, 0, 0, 5, 6, 0, 2, 5, 5, 5, 5, 5] 
dag25.txt 3_2x4.txt True 0.3120567375886525 0.45 638976.0 [5, 2, 7, 4, 4, 7, 7, 7, 1, 0, 1, 5, 3, 3, 6, 2, 0, 0, 1, 3, 5, 7, 2, 7, 0, 6, 2, 0, 0, 3, 0, 1, 1, 1, 1, 1, 1, 6, 4, 1, 1, 4, 4, 4, 4, 6, 6, 4, 4, 6, 7, 3, 7, 7, 3, 6, 0, 2, 4, 3, 3, 7, 3, 7, 3, 4, 6, 1, 3, 2, 3, 2, 2, 2, 6, 0, 2, 6, 2, 5, 6, 5, 0, 0, 5, 6, 0, 2, 5, 5, 5, 5, 5] 
dag25.txt 3_2x4.txt True 0.48226950354609927 0.5 688128.0 [3, 2, 5, 2, 3, 4, 4, 1, 2, 7, 5, 3, 6, 6, 0, 2, 3, 7, 2, 6, 3, 4, 2, 5, 7, 1, 2, 3, 3, 6, 7, 6, 6, 6, 6, 6, 6, 0, 7, 6, 6, 2, 2, 2, 7, 0, 4, 0, 0, 4, 4, 7, 4, 1, 7, 1, 1, 1, 0, 1, 1, 1, 1, 3, 5, 2, 0, 5, 5, 3, 5, 4, 3, 2, 5, 0, 7, 0, 7, 4, 7, 4, 0, 0, 4, 5, 0, 3, 4, 1, 5, 5, 5] 
dag25.txt 3_2x4.txt True 0.5390070921985816 0.55 617130.6666666666 [5, 6, 7, 6, 3, 0, 7, 3, 6, 2, 0, 5, 2, 2, 4, 2, 5, 1, 6, 2, 3, 2, 2, 7, 0, 7, 6, 5, 5, 6, 7, 3, 6, 3, 7, 4, 3, 4, 6, 3, 3, 3, 3, 4, 6, 4, 0, 4, 3, 1, 0, 7, 0, 0, 0, 0, 0, 2, 1, 6, 1, 3, 1, 7, 7, 1, 1, 0, 7, 2, 1, 2, 2, 4, 1, 5, 1, 4, 4, 7, 5, 4, 5, 1, 7, 4, 1, 5, 6, 5, 4, 5, 6] 
dag25.txt 3_2x4.txt True 0.5673758865248227 0.6 622592.0 [3, 5, 0, 2, 3, 5, 5, 4, 2, 6, 6, 0, 4, 4, 7, 4, 6, 7, 2, 6, 3, 5, 5, 1, 6, 1, 5, 0, 6, 6, 4, 6, 6, 6, 4, 2, 2, 7, 4, 2, 0, 2, 2, 0, 7, 0, 0, 2, 0, 7, 0, 7, 1, 4, 1, 0, 3, 6, 0, 4, 3, 4, 1, 7, 1, 7, 2, 4, 7, 6, 7, 4, 5, 5, 7, 0, 5, 2, 1, 5, 1, 1, 1, 3, 1, 1, 3, 5, 3, 3, 3, 3, 3] 
dag25.txt 3_2x4.txt True 0.5673758865248227 0.65 622592.0 [3, 5, 0, 2, 3, 5, 5, 4, 2, 6, 6, 0, 4, 4, 7, 4, 6, 7, 2, 6, 3, 5, 5, 1, 6, 1, 5, 0, 6, 6, 4, 6, 6, 6, 4, 2, 2, 7, 4, 2, 0, 2, 2, 0, 7, 0, 0, 2, 0, 7, 0, 7, 1, 4, 1, 0, 3, 6, 0, 4, 3, 4, 1, 7, 1, 7, 2, 4, 7, 6, 7, 4, 5, 5, 7, 0, 5, 2, 1, 5, 1, 1, 1, 3, 1, 1, 3, 5, 3, 3, 3, 3, 3] 
dag25.txt 3_2x4.txt True 0.5673758865248227 0.7 622592.0 [3, 5, 0, 2, 3, 5, 5, 4, 2, 6, 6, 0, 4, 4, 7, 4, 6, 7, 2, 6, 3, 5, 5, 1, 6, 1, 5, 0, 6, 6, 4, 6, 6, 6, 4, 2, 2, 7, 4, 2, 0, 2, 2, 0, 7, 0, 0, 2, 0, 7, 0, 7, 1, 4, 1, 0, 3, 6, 0, 4, 3, 4, 1, 7, 1, 7, 2, 4, 7, 6, 7, 4, 5, 5, 7, 0, 5, 2, 1, 5, 1, 1, 1, 3, 1, 1, 3, 5, 3, 3, 3, 3, 3] 
dag25.txt 3_2x4.txt True 0.5673758865248227 0.75 622592.0 [3, 5, 0, 2, 3, 5, 5, 4, 2, 6, 6, 0, 4, 4, 7, 4, 6, 7, 2, 6, 3, 5, 5, 1, 6, 1, 5, 0, 6, 6, 4, 6, 6, 6, 4, 2, 2, 7, 4, 2, 0, 2, 2, 0, 7, 0, 0, 2, 0, 7, 0, 7, 1, 4, 1, 0, 3, 6, 0, 4, 3, 4, 1, 7, 1, 7, 2, 4, 7, 6, 7, 4, 5, 5, 7, 0, 5, 2, 1, 5, 1, 1, 1, 3, 1, 1, 3, 5, 3, 3, 3, 3, 3] 
dag25.txt 3_2x4.txt True 0.5673758865248227 0.8 622592.0 [3, 5, 0, 2, 3, 5, 5, 4, 2, 6, 6, 0, 4, 4, 7, 4, 6, 7, 2, 6, 3, 5, 5, 1, 6, 1, 5, 0, 6, 6, 4, 6, 6, 6, 4, 2, 2, 7, 4, 2, 0, 2, 2, 0, 7, 0, 0, 2, 0, 7, 0, 7, 1, 4, 1, 0, 3, 6, 0, 4, 3, 4, 1, 7, 1, 7, 2, 4, 7, 6, 7, 4, 5, 5, 7, 0, 5, 2, 1, 5, 1, 1, 1, 3, 1, 1, 3, 5, 3, 3, 3, 3, 3] 
dag25.txt 3_2x4.txt True 0.5673758865248227 0.85 622592.0 [3, 5, 0, 2, 3, 5, 5, 4, 2, 6, 6, 0, 4, 4, 7, 4, 6, 7, 2, 6, 3, 5, 5, 1, 6, 1, 5, 0, 6, 6, 4, 6, 6, 6, 4, 2, 2, 7, 4, 2, 0, 2, 2, 0, 7, 0, 0, 2, 0, 7, 0, 7, 1, 4, 1, 0, 3, 6, 0, 4, 3, 4, 1, 7, 1, 7, 2, 4, 7, 6, 7, 4, 5, 5, 7, 0, 5, 2, 1, 5, 1, 1, 1, 3, 1, 1, 3, 5, 3, 3, 3, 3, 3] 
dag25.txt 3_2x4.txt True 0.5673758865248227 0.9 622592.0 [3, 5, 0, 2, 3, 5, 5, 4, 2, 6, 6, 0, 4, 4, 7, 4, 6, 7, 2, 6, 3, 5, 5, 1, 6, 1, 5, 0, 6, 6, 4, 6, 6, 6, 4, 2, 2, 7, 4, 2, 0, 2, 2, 0, 7, 0, 0, 2, 0, 7, 0, 7, 1, 4, 1, 0, 3, 6, 0, 4, 3, 4, 1, 7, 1, 7, 2, 4, 7, 6, 7, 4, 5, 5, 7, 0, 5, 2, 1, 5, 1, 1, 1, 3, 1, 1, 3, 5, 3, 3, 3, 3, 3] 
dag25.txt 3_2x4.txt True 0.5673758865248227 0.95 622592.0 [3, 5, 0, 2, 3, 5, 5, 4, 2, 6, 6, 0, 4, 4, 7, 4, 6, 7, 2, 6, 3, 5, 5, 1, 6, 1, 5, 0, 6, 6, 4, 6, 6, 6, 4, 2, 2, 7, 4, 2, 0, 2, 2, 0, 7, 0, 0, 2, 0, 7, 0, 7, 1, 4, 1, 0, 3, 6, 0, 4, 3, 4, 1, 7, 1, 7, 2, 4, 7, 6, 7, 4, 5, 5, 7, 0, 5, 2, 1, 5, 1, 1, 1, 3, 1, 1, 3, 5, 3, 3, 3, 3, 3] 
dag25.txt 3_2x4.txt True 0.5673758865248227 1 622592.0 [3, 5, 0, 2, 3, 5, 5, 4, 2, 6, 6, 0, 4, 4, 7, 4, 6, 7, 2, 6, 3, 5, 5, 1, 6, 1, 5, 0, 6, 6, 4, 6, 6, 6, 4, 2, 2, 7, 4, 2, 0, 2, 2, 0, 7, 0, 0, 2, 0, 7, 0, 7, 1, 4, 1, 0, 3, 6, 0, 4, 3, 4, 1, 7, 1, 7, 2, 4, 7, 6, 7, 4, 5, 5, 7, 0, 5, 2, 1, 5, 1, 1, 1, 3, 1, 1, 3, 5, 3, 3, 3, 3, 3] 
dag25.txt 5_4_3_2x2.txt True 0.0 0.04 2015232.0 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
dag25.txt 5_4_3_2x2.txt True 0.04964539007092199 0.06 1864499.2 [1, 0, 0, 0, 1, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 4, 0, 0, 4, 0, 0, 0, 4, 0, 4, 0, 4] 
dag25.txt 5_4_3_2x2.txt True 0.04964539007092199 0.08 1864499.2 [1, 0, 0, 0, 1, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 4, 0, 0, 4, 0, 0, 0, 4, 0, 4, 0, 4] 
dag25.txt 5_4_3_2x2.txt True 0.04964539007092199 0.1 1864499.2 [1, 0, 0, 0, 1, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 4, 0, 0, 4, 0, 0, 0, 4, 0, 4, 0, 4] 
dag25.txt 5_4_3_2x2.txt True 0.11347517730496454 0.12 1382809.6 [4, 0, 0, 0, 4, 0, 5, 0, 0, 0, 0, 4, 1, 1, 0, 0, 4, 4, 0, 1, 4, 0, 0, 0, 0, 0, 0, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 4, 0, 0, 0, 5, 0, 5, 4, 4, 5, 0, 4, 4, 4, 4, 4, 4, 4] 
dag25.txt 5_4_3_2x2.txt True 0.1276595744680851 0.14 1205862.4 [4, 0, 0, 0, 4, 0, 0, 0, 0, 4, 0, 4, 1, 1, 0, 1, 4, 4, 0, 1, 4, 0, 0, 0, 4, 0, 1, 4, 4, 1, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 4, 0, 0, 0, 5, 0, 5, 4, 4, 5, 0, 4, 5, 5, 4, 5, 4, 5] 
dag25.txt 5_4_3_2x2.txt True 0.1276595744680851 0.16 1205862.4 [4, 0, 0, 0, 4, 0, 0, 0, 0, 4, 0, 4, 1, 1, 0, 1, 4, 4, 0, 1, 4, 0, 0, 0, 4, 0, 1, 4, 4, 1, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 4, 0, 0, 0, 5, 0, 5, 4, 4, 5, 0, 4, 5, 5, 4, 5, 4, 5] 
dag25.txt 5_4_3_2x2.txt True 0.1702127659574468 0.18 1087897.6 [1, 0, 0, 0, 1, 0, 5, 0, 0, 4, 0, 5, 4, 4, 0, 4, 1, 1, 0, 4, 1, 0, 0, 0, 1, 0, 4, 1, 1, 4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 4, 4, 0, 4, 4, 4, 0, 0, 0, 4, 4, 4, 4, 4, 0, 4, 1, 4, 0, 4, 5, 4, 5, 1, 1, 5, 0, 1, 5, 5, 5, 5, 5, 5] 
dag25.txt 5_4_3_2x2.txt True 0.1702127659574468 0.2 1087897.6 [1, 0, 0, 0, 1, 0, 5, 0, 0, 4, 0, 5, 4, 4, 0, 4, 1, 1, 0, 4, 1, 0, 0, 0, 1, 0, 4, 1, 1, 4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 4, 4, 0, 4, 4, 4, 0, 0, 0, 4, 4, 4, 4, 4, 0, 4, 1, 4, 0, 4, 5, 4, 5, 1, 1, 5, 0, 1, 5, 5, 5, 5, 5, 5] 
dag25.txt 5_4_3_2x2.txt True 0.23404255319148937 0.25 842137.6 [5, 1, 1, 0, 5, 1, 1, 1, 0, 4, 0, 5, 4, 4, 0, 4, 5, 2, 0, 4, 5, 1, 1, 1, 2, 0, 4, 5, 5, 4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 6, 1, 6, 0, 0, 4, 0, 4, 4, 1, 7, 1, 7, 0, 0, 0, 7, 4, 0, 1, 1, 1, 0, 5, 1, 0, 1, 1, 5, 1, 5, 2, 1, 0, 5, 3, 3, 5, 3, 5, 3] 
dag25.txt 5_4_3_2x2.txt True 0.2978723404255319 0.3 483328.0 [6, 0, 7, 2, 3, 7, 6, 7, 4, 1, 4, 6, 4, 4, 5, 0, 1, 1, 4, 4, 6, 7, 0, 7, 1, 5, 0, 6, 1, 4, 1, 4, 4, 4, 4, 3, 3, 5, 3, 3, 3, 3, 3, 3, 3, 5, 5, 2, 2, 5, 7, 7, 7, 7, 7, 5, 2, 0, 2, 4, 2, 7, 2, 2, 2, 3, 5, 4, 2, 0, 2, 0, 0, 0, 5, 1, 0, 5, 0, 6, 0, 6, 1, 1, 6, 5, 1, 1, 6, 6, 6, 6, 6] 
dag25.txt 5_4_3_2x2.txt True 0.3120567375886525 0.35 393216.0 [3, 4, 7, 1, 1, 7, 7, 7, 2, 0, 2, 3, 6, 6, 5, 4, 0, 0, 2, 6, 3, 7, 4, 7, 0, 5, 4, 0, 0, 6, 0, 2, 2, 2, 2, 2, 2, 5, 1, 2, 2, 1, 1, 1, 1, 5, 5, 1, 1, 5, 7, 6, 7, 7, 6, 5, 0, 4, 1, 6, 6, 7, 6, 7, 6, 1, 5, 2, 6, 4, 6, 4, 4, 4, 5, 0, 4, 5, 4, 3, 5, 3, 0, 0, 3, 5, 0, 4, 3, 3, 3, 3, 3] 
dag25.txt 5_4_3_2x2.txt True 0.3120567375886525 0.4 393216.0 [3, 4, 7, 1, 1, 7, 7, 7, 2, 0, 2, 3, 6, 6, 5, 4, 0, 0, 2, 6, 3, 7, 4, 7, 0, 5, 4, 0, 0, 6, 0, 2, 2, 2, 2, 2, 2, 5, 1, 2, 2, 1, 1, 1, 1, 5, 5, 1, 1, 5, 7, 6, 7, 7, 6, 5, 0, 4, 1, 6, 6, 7, 6, 7, 6, 1, 5, 2, 6, 4, 6, 4, 4, 4, 5, 0, 4, 5, 4, 3, 5, 3, 0, 0, 3, 5, 0, 4, 3, 3, 3, 3, 3] 
dag25.txt 5_4_3_2x2.txt True 0.3120567375886525 0.45 393216.0 [3, 4, 7, 1, 1, 7, 7, 7, 2, 0, 2, 3, 6, 6, 5, 4, 0, 0, 2, 6, 3, 7, 4, 7, 0, 5, 4, 0, 0, 6, 0, 2, 2, 2, 2, 2, 2, 5, 1, 2, 2, 1, 1, 1, 1, 5, 5, 1, 1, 5, 7, 6, 7, 7, 6, 5, 0, 4, 1, 6, 6, 7, 6, 7, 6, 1, 5, 2, 6, 4, 6, 4, 4, 4, 5, 0, 4, 5, 4, 3, 5, 3, 0, 0, 3, 5, 0, 4, 3, 3, 3, 3, 3] 
dag25.txt 5_4_3_2x2.txt True 0.48226950354609927 0.5 466944.0 [6, 4, 3, 4, 6, 1, 1, 2, 4, 7, 3, 6, 5, 5, 0, 4, 6, 7, 4, 5, 6, 1, 4, 3, 7, 2, 4, 6, 6, 5, 7, 5, 5, 5, 5, 5, 5, 0, 7, 5, 5, 4, 4, 4, 7, 0, 1, 0, 0, 1, 1, 7, 1, 2, 7, 2, 2, 2, 0, 2, 2, 2, 2, 6, 3, 4, 0, 3, 3, 6, 3, 1, 6, 4, 3, 0, 7, 0, 7, 1, 7, 1, 0, 0, 1, 3, 0, 6, 1, 2, 3, 3, 3] 
dag25.txt 5_4_3_2x2.txt True 0.5390070921985816 0.55 557056.0 [3, 5, 7, 5, 6, 0, 7, 6, 5, 4, 0, 3, 4, 4, 1, 4, 3, 2, 5, 4, 6, 4, 4, 7, 0, 7, 5, 3, 3, 5, 7, 6, 5, 6, 7, 1, 6, 1, 5, 6, 6, 6, 6, 1, 5, 1, 0, 1, 6, 2, 0, 7, 0, 0, 0, 0, 0, 4, 2, 5, 2, 6, 2, 7, 7, 2, 2, 0, 7, 4, 2, 4, 4, 1, 2, 3, 2, 1, 1, 7, 3, 1, 3, 2, 7, 1, 2, 3, 5, 3, 1, 3, 5] 
dag25.txt 5_4_3_2x2.txt True 0.5673758865248227 0.6 507904.0 [6, 3, 0, 4, 6, 3, 3, 1, 4, 5, 5, 0, 1, 1, 7, 1, 5, 7, 4, 5, 6, 3, 3, 2, 5, 2, 3, 0, 5, 5, 1, 5, 5, 5, 1, 4, 4, 7, 1, 4, 0, 4, 4, 0, 7, 0, 0, 4, 0, 7, 0, 7, 2, 1, 2, 0, 6, 5, 0, 1, 6, 1, 2, 7, 2, 7, 4, 1, 7, 5, 7, 1, 3, 3, 7, 0, 3, 4, 2, 3, 2, 2, 2, 6, 2, 2, 6, 3, 6, 6, 6, 6, 6] 
dag25.txt 5_4_3_2x2.txt True 0.5673758865248227 0.65 507904.0 [6, 3, 0, 4, 6, 3, 3, 1, 4, 5, 5, 0, 1, 1, 7, 1, 5, 7, 4, 5, 6, 3, 3, 2, 5, 2, 3, 0, 5, 5, 1, 5, 5, 5, 1, 4, 4, 7, 1, 4, 0, 4, 4, 0, 7, 0, 0, 4, 0, 7, 0, 7, 2, 1, 2, 0, 6, 5, 0, 1, 6, 1, 2, 7, 2, 7, 4, 1, 7, 5, 7, 1, 3, 3, 7, 0, 3, 4, 2, 3, 2, 2, 2, 6, 2, 2, 6, 3, 6, 6, 6, 6, 6] 
